,date,description,language,source,text,title,url,title_compound,title_pos,title_neu,title_neg,title_sent,text_compound,text_pos,text_neu,text_neg,text_sent,tokens
0,2022-06-29,"Sebastien Vachon-Desjardins, who worked with the NetWalker crew, had $27m (£22.2m) in Bitcoin when arrested",en,"{'id': None, 'name': 'Yahoo Entertainment'}","Sebastien Vachon-Desjardins, 34, was a prolific hacker for the Russia-based NetWalker crew
An ex-Canadian government IT worker has admitted to being a high-level hacker with a Russian cyber-crime gr… [+3320 chars]",Canadian admits to hacking spree with Russian cyber-gang,https://finance.yahoo.com/news/canadian-admits-hacking-spree-russian-130446537.html,0.296,0.239,0.761,0.0,1,0.1027,0.049,0.951,0.0,1,"['Sebastien', 'Vachon-Desjardins', '34', 'prolific', 'hacker', 'Russia-based', 'NetWalker', 'crew', 'ex-Canadian', 'government', 'worker', 'admitted', 'high-level', 'hacker', 'Russian', 'cyber-crime', 'gr…', '+3320']"
1,2022-06-16,"The cryptocurrency crash is hurting many investors, including one country that has bet big on Bitcoin.",en,"{'id': None, 'name': 'Yahoo Entertainment'}","Many shops make clear to customers that they accept Bitcoin
Cryptocurrencies have continued to tumble this week with billions wiped from the value of tokens like Bitcoin. The crash is affecting inve… [+6703 chars]",El Salvador: The country where you can buy anything with Bitcoin,https://finance.yahoo.com/news/el-salvador-country-where-buy-011521770.html,0.0,0.0,1.0,0.0,0,0.7506,0.242,0.694,0.065,1,"['Many', 'shop', 'make', 'clear', 'customer', 'accept', 'Bitcoin', 'Cryptocurrencies', 'continued', 'tumble', 'week', 'billion', 'wiped', 'value', 'token', 'like', 'Bitcoin', 'crash', 'affecting', 'inve…', '+6703']"
2,2022-07-11,Gryphon received a loan in bitcoin that will also be payable in bitcoin.,en,"{'id': None, 'name': 'CoinDesk'}","Please note that ourprivacy policy,terms of use,cookies, anddo not sell my personal informationhas been updated.
The leader in news and information on cryptocurrency, digital assets and the future o… [+556 chars]",Gryphon Mining 'Able to Take Advantage of Opportunities' in Sector,https://www.coindesk.com/business/2022/07/11/gryphon-mining-able-to-take-advantage-of-opportunities-in-sector/,0.5574,0.365,0.635,0.0,1,0.4588,0.121,0.879,0.0,1,"['Please', 'note', 'ourprivacy', 'policy', 'term', 'use', 'cooky', 'anddo', 'sell', 'personal', 'informationhas', 'updated', 'leader', 'news', 'information', 'cryptocurrency', 'digital', 'asset', 'future', 'o…', '+556']"
3,2022-07-06,"The company continued to sell its bitcoin, along with other bitcoin miners feeling the squeeze of the bear market.",en,"{'id': None, 'name': 'CoinDesk'}","Riot Blockchain, one of the largest bitcoin miners in the U.S., started moving its bitcoin mining rigs from a hosting site in New York to its own mine in Texas to cut down on costs.
Riot expects the… [+2266 chars]",Riot Blockchain Starts Move Away From New York Hosting Site,https://www.coindesk.com/business/2022/07/06/riot-blockchain-starts-move-away-from-new-york-hosting-site/,-0.5574,0.0,0.714,0.286,-1,-0.8519,0.0,0.795,0.205,-1,"['Riot', 'Blockchain', 'one', 'largest', 'bitcoin', 'miner', 'U.S.', 'started', 'moving', 'bitcoin', 'mining', 'rig', 'hosting', 'site', 'New', 'York', 'mine', 'Texas', 'cut', 'cost', 'Riot', 'expects', 'the…', '+2266']"
4,2022-06-21,"The Canadian Purpose Bitcoin ETF lost half of its assets last Friday before bitcoin crashed, leading to ProShares’ futures-based BITO taking over the top spot as the largest bitcoin-focused ETF by assets, Arcane said in a note.",en,"{'id': None, 'name': 'CoinDesk'}","The world's largest bitcoin (BTC) spot exchange-traded fund lost half of its assets under management last Friday, which might have exacerbated bitcoins crash on Saturday.
The Purpose Bitcoin ETF saw… [+3067 chars]",'Enormous Outflows' From Largest Bitcoin ETF May Have Triggered BTC Crash,https://www.coindesk.com/markets/2022/06/21/enormous-outflows-from-largest-bitcoin-etf-may-have-triggered-btc-crash/,-0.4019,0.0,0.787,0.213,-1,-0.5106,0.048,0.812,0.14,-1,"['world', 'largest', 'bitcoin', 'BTC', 'spot', 'exchange-traded', 'fund', 'lost', 'half', 'asset', 'management', 'last', 'Friday', 'might', 'exacerbated', 'bitcoins', 'crash', 'Saturday', 'Purpose', 'Bitcoin', 'ETF', 'saw…', '+3067']"
5,2022-06-19,"The bitcoin (BTC-USD) price fell below $20,000 on Saturday and is trading at $19,379 on Sunday morning.",en,"{'id': None, 'name': 'Yahoo Entertainment'}","Over the weekend, bitcoin dropped below a key psychological level for buyer support, and so far has not been able to get back above it.
The bitcoin (BTC-USD) price fell below $20,000 on Saturday and… [+2554 chars]","Bitcoin drops below $20,000",https://finance.yahoo.com/news/bitcoin-drops-133248611.html,0.0,0.0,1.0,0.0,0,0.4019,0.072,0.928,0.0,1,"['weekend', 'bitcoin', 'dropped', 'key', 'psychological', 'level', 'buyer', 'support', 'far', 'able', 'get', 'back', 'bitcoin', 'BTC-USD', 'price', 'fell', '20,000', 'Saturday', 'and…', '+2554']"
6,2022-06-27,The owner of the $13.5 billion Grayscale Bitcoin Trust awaits an imminent decision from the SEC on its spot Bitcoin ETF proposal.,en,"{'id': None, 'name': 'CoinDesk'}",Grayscale Investments said Monday it would work with market-making heavyweights Jane Street and Virtu Financial as authorized participants should its Grayscale Bitcoin Trust (GBTC) garner Securities … [+1306 chars],"Grayscale Lines Up Jane Street and Virtu as ""Authorized Participants' if GBTC Converts to ETF",https://www.coindesk.com/business/2022/06/27/grayscale-lines-up-jane-street-and-virtu-as-authorized-participants-if-gbtc-converts-to-etf/,0.0,0.0,1.0,0.0,0,0.6705,0.175,0.825,0.0,1,"['Grayscale', 'Investments', 'said', 'Monday', 'would', 'work', 'market-making', 'heavyweight', 'Jane', 'Street', 'Virtu', 'Financial', 'authorized', 'participant', 'Grayscale', 'Bitcoin', 'Trust', 'GBTC', 'garner', 'Securities', '+1306']"
7,2022-07-12,"“It’s about getting answers to some of the technical questions,” Bitwise Chief Compliance Officer Katherine Dowling said, regarding the SEC’s denial of the asset management firm’s spot bitcoin ETF application, on CoinDesk TV’s “All About Bitcoin.”",en,"{'id': None, 'name': 'CoinDesk'}","Suing the U.S. Securities and Exchange Commission (SEC) to learn why the regulator rejected Bitwise's bitcoin exchange-traded fund filing is a possibility, according to Chief Compliance Officer Kathe… [+1257 chars]","Suing SEC Is a Possibility, Bitwise Chief Compliance Officer Says",https://www.coindesk.com/layer2/2022/07/12/suing-sec-is-a-possibility-bitwise-chief-compliance-officer-says/,-0.2732,0.0,0.792,0.208,-1,-0.4939,0.065,0.774,0.161,-1,"['Suing', 'U.S.', 'Securities', 'Exchange', 'Commission', 'SEC', 'learn', 'regulator', 'rejected', 'Bitwise', 'bitcoin', 'exchange-traded', 'fund', 'filing', 'possibility', 'according', 'Chief', 'Compliance', 'Officer', 'Kathe…', '+1257']"
8,2022-07-01,Brink co-founder Mike Schmidt and Bitcoin Core developer Larry Ruane discuss the ins and outs of funding Bitcoin research and development. This post is part of CoinDesk's Future of Work Week.,en,"{'id': None, 'name': 'CoinDesk'}",Bill Gates was still in high school when Richard Stallman was busy hacking computers at the Massachusetts Institute of Technology's Artificial Intelligence Lab in 1971. Stallman went on to launch the… [+7348 chars],So You Want to Be a Bitcoin Developer?,https://www.coindesk.com/layer2/futureofworkweek/2022/07/01/so-you-want-to-be-a-bitcoin-developer/,0.1477,0.208,0.792,0.0,1,0.4767,0.088,0.912,0.0,1,"['Bill', 'Gates', 'still', 'high', 'school', 'Richard', 'Stallman', 'busy', 'hacking', 'computer', 'Massachusetts', 'Institute', 'Technology', 'Artificial', 'Intelligence', 'Lab', '1971', 'Stallman', 'went', 'launch', 'the…', '+7348']"
9,2022-07-11,"Bitcoin slides for third day, heads back down toward $20K.",en,"{'id': None, 'name': 'CoinDesk'}","Good morning. Heres whats happening:
Prices: Bitcoin (BTC) slides for a third day, once again threatening to fall below the crucial $20K mark.
Insights: Ashley Alder's mixed crypto legacy in Hong K… [+8505 chars]",First Mover Asia: Bitcoin Slides; Mixed Crypto Legacy in Hong Kong for the FCA's Incoming CEO,https://www.coindesk.com/markets/2022/07/11/first-mover-asia-bitcoin-slides-mixed-crypto-legacy-in-hong-kong-for-the-fcas-incoming-ceo/,0.0,0.0,1.0,0.0,0,-0.128,0.078,0.831,0.091,-1,"['Good', 'morning', 'Heres', 'whats', 'happening', 'Prices', 'Bitcoin', 'BTC', 'slide', 'third', 'day', 'threatening', 'fall', 'crucial', '20K', 'mark', 'Insights', 'Ashley', 'Alder', 'mixed', 'crypto', 'legacy', 'Hong', 'K…', '+8505']"
