,date,description,language,source,text,title,url,title_compound,title_pos,title_neu,title_neg,title_sent,text_compound,text_pos,text_neu,text_neg,text_sent,tokens
0,2022-06-16,Understand every aspect of the global economy – and know how to make your next move.,en,"{'id': 'bloomberg', 'name': 'Bloomberg'}","Bloomberg's Emily Chang breaks down the latest market moves with the Nasdaq 100 leading the charge in tumbling US stocks as global recession fears ramp up. Plus, what came out of the virtual meeting … [+50 chars]",Nasdaq Drops 4% and Twitter's All-Hands Meeting (Podcast),https://www.bloomberg.com/news/audio/2022-06-16/nasdaq-drops-4-and-twitter-s-all-hands-meeting-podcast,0.0,0.0,1.0,0.0,0,-0.6808,0.0,0.859,0.141,-1,"['Bloomberg', 'Emily', 'Chang', 'break', 'latest', 'market', 'move', 'Nasdaq', '100', 'leading', 'charge', 'tumbling', 'US', 'stock', 'global', 'recession', 'fear', 'ramp', 'Plus', 'came', 'virtual', 'meeting', '+50']"
1,2022-07-14,"The worst rout in more than a decade for the US tech-focused Nasdaq 100 Stock Index has turned into a buying opportunity for Indian retail investors, who boosted holdings of Tesla Inc., Amazon.com Inc and Apple Inc.",en,"{'id': 'bloomberg', 'name': 'Bloomberg'}","The worst rout in more than a decade for the US tech-focused Nasdaq 100 Stock Index has turned into a buying opportunity for Indian retail investors, who boosted holdings of 
Tesla Inc., 
Amazon.co… [+1129 chars]",US Tech Stocks Are Luring Indian Retail Investors Despite Rout - Bloomberg,https://www.bloomberg.com/news/articles/2022-07-14/us-tech-stocks-are-luring-indian-retail-investors-despite-rout,0.0,0.0,1.0,0.0,0,0.0516,0.135,0.761,0.104,1,"['worst', 'rout', 'decade', 'US', 'tech-focused', 'Nasdaq', '100', 'Stock', 'Index', 'turned', 'buying', 'opportunity', 'Indian', 'retail', 'investor', 'boosted', 'holding', 'Tesla', 'Inc.', 'Amazon.co…', '+1129']"
2,2022-06-28,"In a year that has seen widespread selling of technology stocks and long-time market leaders fall into bear territory, the woes of Netflix Inc. stand alone.",en,"{'id': 'bloomberg', 'name': 'Bloomberg'}","In a year that has seen widespread selling of technology stocks and long-time market leaders fall into bear territory, the woes of 
Netflix Inc. stand alone.
The video-streaming company has plummet… [+345 chars]",The Number of Netflix Bulls Is Dwindling,https://www.bloomberg.com/news/articles/2022-06-28/netflix-bulls-dwindle-as-year-s-collapse-nears-70-tech-watch,0.0772,0.178,0.822,0.0,1,-0.5994,0.0,0.86,0.14,-1,"['year', 'seen', 'widespread', 'selling', 'technology', 'stock', 'long-time', 'market', 'leader', 'fall', 'bear', 'territory', 'woe', 'Netflix', 'Inc.', 'stand', 'alone', 'video-streaming', 'company', 'plummet…', '+345']"
3,2022-07-05,"""Tech's become absolutely hated, maybe so hated that I think we could see a serious bounce,"" he said.",en,"{'id': None, 'name': 'CNBC'}","CNBC's Jim Cramer on Tuesday told investors his three stock picks from the worst and best performing stocks in the Nasdaq 100 during the first half of this year.
""Tech stocks were horrendous in the … [+2018 chars]",Jim Cramer says investors should eye these three tech names in the Nasdaq 100 - CNBC,https://www.cnbc.com/2022/07/05/jim-cramer-says-investors-should-eye-these-three-tech-names-in-the-nasdaq-100-.html,0.0,0.0,1.0,0.0,0,-0.5719,0.091,0.738,0.171,-1,"['CNBC', 'Jim', 'Cramer', 'Tuesday', 'told', 'investor', 'three', 'stock', 'pick', 'worst', 'best', 'performing', 'stock', 'Nasdaq', '100', 'first', 'half', 'year', 'Tech', 'stock', 'horrendous', '+2018']"
4,2022-06-30,"Skeptics have long made a sport of predicting that the decade-long rally in technology stocks was destined to reverse. At the halfway point of 2022, it seems like this is the year when they will be proven right.",en,"{'id': 'bloomberg', 'name': 'Bloomberg'}","Skeptics have long made a sport of predicting that the decade-long rally in technology stocks was destined to reverse. At the halfway point of 2022, it seems like this is the year when they will be p… [+6153 chars]",Tech-Heavy Nasdaq 100 (NDX) Heads for Historic Wipeout as US Economy Cools - Bloomberg,https://www.bloomberg.com/news/articles/2022-06-30/nasdaq-heads-for-historic-wipeout-as-economy-cools-tech-watch,0.0,0.0,1.0,0.0,0,0.2732,0.063,0.902,0.035,1,"['Skeptics', 'long', 'made', 'sport', 'predicting', 'decade-long', 'rally', 'technology', 'stock', 'destined', 'reverse', 'halfway', 'point', '2022', 'seems', 'like', 'year', 'p…', '+6153']"
5,2022-07-07,"A rally in risk assets this week is sending traders to some of the most speculative corners of the technology sector, where gains in beleaguered stocks are more than double those of Nasdaq 100’s advance.",en,"{'id': 'bloomberg', 'name': 'Bloomberg'}","A rally in risk assets this week is sending traders to some of the most speculative corners of the technology sector, where gains in beleaguered stocks are more than double those of Nasdaq 100s advan… [+305 chars]",Nasdaq Win Streak Is Fueled by Tech Losers Turning Into Winners - Bloomberg,https://www.bloomberg.com/news/articles/2022-07-07/nasdaq-win-streak-is-fueled-by-tech-losers-turning-into-winners,0.5423,0.358,0.466,0.176,1,0.4005,0.145,0.802,0.053,1,"['rally', 'risk', 'asset', 'week', 'sending', 'trader', 'speculative', 'corner', 'technology', 'sector', 'gain', 'beleaguered', 'stock', 'double', 'Nasdaq', '100', 'advan…', '+305']"
6,2022-07-11,"With technology stocks on track for their biggest annual decline on record, the earnings season has a lot riding on it.",en,"{'id': 'bloomberg', 'name': 'Bloomberg'}","With technology stocks on track for their biggest annual 
decline on record, the earnings season has a lot riding on it.
A tumultuous first half wiped out $5.6 trillion in market value from the Nas… [+6414 chars]",Tech Stocks News: Earnings Season Will Be Nail-Biting After Nasdaq Rout - Bloomberg,https://www.bloomberg.com/news/articles/2022-07-11/nail-biting-earnings-season-on-tap-after-nasdaq-rout-tech-watch,0.0,0.0,1.0,0.0,0,0.34,0.066,0.934,0.0,1,"['technology', 'stock', 'track', 'biggest', 'annual', 'decline', 'record', 'earnings', 'season', 'lot', 'riding', 'tumultuous', 'first', 'half', 'wiped', '5.6', 'trillion', 'market', 'value', 'Nas…', '+6414']"
7,2022-06-26,,en,"{'id': 'bloomberg', 'name': 'Bloomberg'}","Crypto curious stock investors are taking little comfort in the rebound in the shares of companies linked to the digital-asset world in the past week, with the sector underperforming just about every… [+627 chars]",Crypto Stocks Show Why They're Among the Riskiest of Risk Assets,https://www.bloomberg.com/news/articles/2022-06-26/crypto-stocks-show-why-they-re-among-the-riskiest-of-risk-assets,-0.4404,0.119,0.559,0.322,-1,0.6915,0.178,0.822,0.0,1,"['Crypto', 'curious', 'stock', 'investor', 'taking', 'little', 'comfort', 'rebound', 'share', 'company', 'linked', 'digital-asset', 'world', 'past', 'week', 'sector', 'underperforming', 'every…', '+627']"
8,2022-07-08,"Crypto mining giant Marathon Digital Holdings Inc. had its best weekly gain since February 2021, leading a rally in digital-asset shares as the crypto market enjoyed a respite from recent steep declines. The stock’s gains, while impressive, were nowhere near …",en,"{'id': 'bloomberg', 'name': 'Bloomberg'}","Crypto mining giant 
Marathon Digital Holdings Inc. had its best weekly gain since February 2021, leading a rally in digital-asset shares as the crypto market enjoyed a respite from recent steep dec… [+603 chars]",Crypto Miner Marathon's 54% Surge Still Leaves Stock Deep in Red,https://www.bloomberg.com/news/articles/2022-07-08/crypto-miner-marathon-s-54-surge-still-leaves-stock-deep-in-red,0.0,0.0,1.0,0.0,0,0.9201,0.319,0.681,0.0,1,"['Crypto', 'mining', 'giant', 'Marathon', 'Digital', 'Holdings', 'Inc.', 'best', 'weekly', 'gain', 'since', 'February', '2021', 'leading', 'rally', 'digital-asset', 'share', 'crypto', 'market', 'enjoyed', 'respite', 'recent', 'steep', 'dec…', '+603']"
9,2022-06-17,Here's Where Investors Took Cover in Miserable Week for Tech Stocks  Bloomberg,en,"{'id': 'bloomberg', 'name': 'Bloomberg'}","Its been an ugly week for tech stocks. But it turns out that investors who stuck with the likes of Oracle Corp. and Cisco Systems Inc. -- cash generating, dividend-paying companies -- managed to beat… [+2469 chars]",Here's Where Investors Took Cover in Miserable Week for Tech Stocks - Bloomberg,https://www.bloomberg.com/news/articles/2022-06-17/oracle-cisco-offer-tech-investors-some-cover-in-miserable-week,-0.4939,0.0,0.775,0.225,-1,0.0129,0.087,0.803,0.11,0,"['ugly', 'week', 'tech', 'stock', 'turn', 'investor', 'stuck', 'like', 'Oracle', 'Corp.', 'Cisco', 'Systems', 'Inc.', '--', 'cash', 'generating', 'dividend-paying', 'company', '--', 'managed', 'beat…', '+2469']"
