,date,description,language,source,text,title,url,title_compound,title_pos,title_neu,title_neg,title_sent,text_compound,text_pos,text_neu,text_neg,text_sent,tokens
0,2022-07-14,,en,"{'id': 'bloomberg', 'name': 'Bloomberg'}","Jennifer Rumsey, the chief operating officer of 
Cummins Inc., was promoted to chief executive officer, becoming the first female leader of the 103-year-old engine maker.
Current CEO Tom Linebarger… [+1252 chars]","Cummins Makes Rumsey CEO, Adding to Female Leaders in S&P 500",https://www.bloomberg.com/news/articles/2022-07-14/cummins-promotes-rumsey-to-ceo-adding-to-women-leaders-in-s-p,0.0,0.0,1.0,0.0,0,0.4215,0.085,0.915,0.0,1,"['Jennifer', 'Rumsey', 'chief', 'operating', 'officer', 'Cummins', 'Inc.', 'promoted', 'chief', 'executive', 'officer', 'becoming', 'first', 'female', 'leader', '103-year-old', 'engine', 'maker', 'Current', 'CEO', 'Tom', 'Linebarger…', '+1252']"
1,2022-06-18,"In early January, the outlook for the next 12 months looked pretty rosy to Wall Street, with some predicting that the S&P 500 Index would reach 5,500 by year’s end. But 2022 had other plans.",en,"{'id': 'bloomberg', 'name': 'Bloomberg'}","In early January, the outlook for the next 12 months looked pretty rosy to Wall Street, with some predicting that the S&amp;P 500 Index would reach 
5,500 by years end. But 2022 had other plans. 
T… [+482 chars]",'How's That for a Lesson?': Wall Street Reviews Rocky Six Months,https://www.bloomberg.com/news/articles/2022-06-18/-how-s-that-for-a-lesson-wall-street-reviews-rocky-six-months,0.0,0.0,1.0,0.0,0,0.2846,0.08,0.92,0.0,1,"['early', 'January', 'outlook', 'next', '12', 'month', 'looked', 'pretty', 'rosy', 'Wall', 'Street', 'predicting', 'P', 'Index', 'would', 'reach', '5,500', 'year', 'end', '2022', 'plan', 'T…', '+482']"
2,2022-07-01,Understand every aspect of the global economy – and know how to make your next move.,en,"{'id': 'bloomberg', 'name': 'Bloomberg'}","In today's Dubai Daybreak podcast, we cover the biggest stories you need to know. Stocks headed cautiously into July after US shares had their worst first half since 1970. The S&amp;P 500's dismal pe… [+176 chars]",Daybreak: Stocks Make Tentative Start to Second Half. (Podcast),https://www.bloomberg.com/news/audio/2022-07-01/daybreak-stocks-make-tentative-start-to-second-half-podcast,0.0,0.0,1.0,0.0,0,-0.7845,0.051,0.762,0.187,-1,"['today', 'Dubai', 'Daybreak', 'podcast', 'cover', 'biggest', 'story', 'need', 'know', 'Stocks', 'headed', 'cautiously', 'July', 'US', 'share', 'worst', 'first', 'half', 'since', '1970', 'P', 'dismal', 'pe…', '+176']"
3,2022-06-16,Understand every aspect of the global economy – and know how to make your next move.,en,"{'id': 'bloomberg', 'name': 'Bloomberg'}","Source: Bloomberg, 02:48
Today's Sydney Daybreak podcast breaks down the morning's biggest headlines with host Krista Gmelich. US stocks tanked, extending a global selloff, as recession fears took c… [+229 chars]",Daybreak: Stock Selloff Continues; BOJ May Stand Pat (Podcast),https://www.bloomberg.com/news/audio/2022-06-16/daybreak-stock-selloff-continues-boj-may-stand-pat-podcast,0.0,0.0,1.0,0.0,0,-0.6808,0.0,0.833,0.167,-1,"['Source', 'Bloomberg', '02:48', 'Today', 'Sydney', 'Daybreak', 'podcast', 'break', 'morning', 'biggest', 'headline', 'host', 'Krista', 'Gmelich', 'US', 'stock', 'tanked', 'extending', 'global', 'selloff', 'recession', 'fear', 'took', 'c…', '+229']"
4,2022-06-28,"In a year that has seen widespread selling of technology stocks and long-time market leaders fall into bear territory, the woes of Netflix Inc. stand alone.",en,"{'id': 'bloomberg', 'name': 'Bloomberg'}","In a year that has seen widespread selling of technology stocks and long-time market leaders fall into bear territory, the woes of 
Netflix Inc. stand alone.
The video-streaming company has plummet… [+345 chars]",The Number of Netflix Bulls Is Dwindling,https://www.bloomberg.com/news/articles/2022-06-28/netflix-bulls-dwindle-as-year-s-collapse-nears-70-tech-watch,0.0772,0.178,0.822,0.0,1,-0.5994,0.0,0.86,0.14,-1,"['year', 'seen', 'widespread', 'selling', 'technology', 'stock', 'long-time', 'market', 'leader', 'fall', 'bear', 'territory', 'woe', 'Netflix', 'Inc.', 'stand', 'alone', 'video-streaming', 'company', 'plummet…', '+345']"
5,2022-06-18,So far 2022 has been a year where just about everyone on Wall Street got it wrong. As did the Fed and a cadre of global central banks.,en,"{'id': 'bloomberg', 'name': 'Bloomberg'}","So far 2022 has been a year where just about everyone on Wall Street got it wrong. As did the Fed and a cadre of global central banks.
Back in December, strategists at the worlds top investment firm… [+277 chars]",Nearly All of Wall Street and the Fed Botched Calls for 2022,https://www.bloomberg.com/news/articles/2022-06-18/nearly-all-of-wall-street-and-the-fed-botched-calls-for-2022,0.0,0.0,1.0,0.0,0,-0.3182,0.044,0.88,0.076,-1,"['far', '2022', 'year', 'everyone', 'Wall', 'Street', 'got', 'wrong', 'Fed', 'cadre', 'global', 'central', 'bank', 'Back', 'December', 'strategist', 'world', 'top', 'investment', 'firm…', '+277']"
6,2022-06-28,"US profit margin estimates are too optimistic, putting stocks at risk of more declines when Wall Street analysts downgrade their expectations, according to Goldman Sachs Group Inc. strategists.",en,"{'id': 'bloomberg', 'name': 'Bloomberg'}","US profit margin estimates are too optimistic, putting stocks at risk of more declines when Wall Street analysts downgrade their expectations, according to Goldman Sachs Group Inc. strategists.
Whil… [+407 chars]","US Profit Margin Estimates Are Too Optimistic, Goldman Strategists Say",https://www.bloomberg.com/news/articles/2022-06-28/goldman-strategists-say-us-profit-margin-estimates-are-too-rosy,0.6369,0.394,0.606,0.0,1,0.4767,0.147,0.793,0.059,1,"['US', 'profit', 'margin', 'estimate', 'optimistic', 'putting', 'stock', 'risk', 'decline', 'Wall', 'Street', 'analyst', 'downgrade', 'expectation', 'according', 'Goldman', 'Sachs', 'Group', 'Inc.', 'strategist', 'Whil…', '+407']"
7,2022-06-27,,en,"{'id': 'bloomberg', 'name': 'Bloomberg'}","Women hold 35% of board seats at companies in the S&amp;P/ASX 200 Index, another milestone toward gender equality at Australias largest firms.   
Females held one more seat on the boards of companie… [+3268 chars]",Women Now Hold 35% of Board Seats at Australia's Biggest Companies,https://www.bloomberg.com/news/articles/2022-06-27/women-reach-35-of-board-seats-at-australia-s-biggest-companies,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0,"['Women', 'hold', '35', 'board', 'seat', 'company', 'P/ASX', '200', 'Index', 'another', 'milestone', 'toward', 'gender', 'equality', 'Australias', 'largest', 'firm', 'Females', 'held', 'one', 'seat', 'board', 'companie…', '+3268']"
8,2022-06-30,Get caught up.,en,"{'id': 'bloomberg', 'name': 'Bloomberg'}","With June now over, we can say that the S&amp;P 500 has suffered 
its toughest first half since Richard Nixon was in the White House. It was a rout for the history books, with the equity gauge down … [+917 chars]",Your Evening Briefing: The Stock Market Doomsayers Were Right,https://www.bloomberg.com/news/newsletters/2022-06-30/bloomberg-evening-briefing-the-stock-market-doomsayers-were-right,-0.4019,0.0,0.748,0.252,-1,-0.5423,0.0,0.892,0.108,-1,"['June', 'say', 'P', 'suffered', 'toughest', 'first', 'half', 'since', 'Richard', 'Nixon', 'White', 'House', 'rout', 'history', 'book', 'equity', 'gauge', '+917']"
9,2022-06-28,"Contrary to the myth of equity markets being forward-looking, past experience shows stocks kept rising right into a recession and falling through much of it. That means there is more pain to come if you think the US is heading into a recession.",en,"{'id': 'bloomberg', 'name': 'Bloomberg'}","Contrary to the myth of equity markets being forward-looking, past experience shows stocks kept rising right into a recession and falling through much of it. That means there is more pain to come if … [+9113 chars]",The Equity Bear Market Won't Be Over Before Recession Begins,https://www.bloomberg.com/news/newsletters/2022-06-28/the-equity-bear-market-won-t-be-over-before-recession-begins,-0.4215,0.0,0.763,0.237,-1,-0.7902,0.0,0.8,0.2,-1,"['Contrary', 'myth', 'equity', 'market', 'forward-looking', 'past', 'experience', 'show', 'stock', 'kept', 'rising', 'right', 'recession', 'falling', 'much', 'mean', 'pain', 'come', '+9113']"
