Date,CCL
1987-07-24,3.9375
1987-07-27,3.90625
1987-07-28,3.875
1987-07-29,3.875
1987-07-30,3.8125
1987-07-31,3.625
1987-08-03,3.84375
1987-08-04,3.78125
1987-08-05,3.78125
1987-08-06,3.75
1987-08-07,3.84375
1987-08-10,3.90625
1987-08-11,3.9375
1987-08-12,3.9375
1987-08-13,3.875
1987-08-14,3.875
1987-08-17,3.875
1987-08-18,3.71875
1987-08-19,3.75
1987-08-20,3.75
1987-08-21,3.8125
1987-08-24,3.9375
1987-08-25,4.125
1987-08-26,4.3125
1987-08-27,4.21875
1987-08-28,4.25
1987-08-31,4.21875
1987-09-01,4.1875
1987-09-02,4.0
1987-09-03,4.0
1987-09-04,3.96875
1987-09-08,3.875
1987-09-09,3.84375
1987-09-10,3.84375
1987-09-11,3.9375
1987-09-14,3.96875
1987-09-15,3.96875
1987-09-16,4.0
1987-09-17,3.9375
1987-09-18,3.90625
1987-09-21,3.96875
1987-09-22,3.96875
1987-09-23,3.96875
1987-09-24,3.9375
1987-09-25,3.96875
1987-09-28,4.03125
1987-09-29,3.96875
1987-09-30,4.0
1987-10-01,3.96875
1987-10-02,4.0
1987-10-05,4.0
1987-10-06,3.90625
1987-10-07,3.84375
1987-10-08,3.75
1987-10-09,3.5625
1987-10-12,3.34375
1987-10-13,3.46875
1987-10-14,3.3125
1987-10-15,3.15625
1987-10-16,3.03125
1987-10-19,2.28125
1987-10-20,2.625
1987-10-21,2.71875
1987-10-22,2.34375
1987-10-23,2.34375
1987-10-26,2.15625
1987-10-27,2.21875
1987-10-28,2.1875
1987-10-29,2.15625
1987-10-30,2.5625
1987-11-02,2.625
1987-11-03,2.53125
1987-11-04,2.34375
1987-11-05,2.28125
1987-11-06,2.3125
1987-11-09,2.28125
1987-11-10,2.25
1987-11-11,2.28125
1987-11-12,2.3125
1987-11-13,2.25
1987-11-16,2.21875
1987-11-17,2.25
1987-11-18,2.21875
1987-11-19,2.15625
1987-11-20,2.15625
1987-11-23,2.25
1987-11-24,2.34375
1987-11-25,2.3125
1987-11-27,2.3125
1987-11-30,2.25
1987-12-01,2.1875
1987-12-02,2.1875
1987-12-03,2.09375
1987-12-04,2.09375
1987-12-07,2.09375
1987-12-08,2.09375
1987-12-09,2.375
1987-12-10,2.375
1987-12-11,2.375
1987-12-14,2.46875
1987-12-15,2.46875
1987-12-16,2.6875
1987-12-17,2.78125
1987-12-18,2.8125
1987-12-21,2.75
1987-12-22,2.625
1987-12-23,2.75
1987-12-24,2.875
1987-12-28,2.8125
1987-12-29,2.8125
1987-12-30,2.75
1987-12-31,3.0
1988-01-04,3.0
1988-01-05,3.03125
1988-01-06,3.25
1988-01-07,3.5
1988-01-08,3.3125
1988-01-11,3.34375
1988-01-12,3.3125
1988-01-13,3.28125
1988-01-14,3.25
1988-01-15,3.3125
1988-01-18,3.28125
1988-01-19,3.21875
1988-01-20,3.21875
1988-01-21,3.15625
1988-01-22,3.15625
1988-01-25,3.25
1988-01-26,3.3125
1988-01-27,3.3125
1988-01-28,3.3125
1988-01-29,3.34375
1988-02-01,3.25
1988-02-02,3.1875
1988-02-03,3.21875
1988-02-04,3.125
1988-02-05,3.03125
1988-02-08,3.0
1988-02-09,2.90625
1988-02-10,3.0
1988-02-11,3.0
1988-02-12,3.09375
1988-02-16,3.03125
1988-02-17,2.96875
1988-02-18,2.9375
1988-02-19,2.96875
1988-02-22,3.125
1988-02-23,3.0625
1988-02-24,3.0625
1988-02-25,3.09375
1988-02-26,3.125
1988-02-29,3.21875
1988-03-01,3.34375
1988-03-02,3.3125
1988-03-03,3.21875
1988-03-04,3.125
1988-03-07,3.125
1988-03-08,3.125
1988-03-09,3.0625
1988-03-10,3.09375
1988-03-11,3.0625
1988-03-14,3.09375
1988-03-15,3.21875
1988-03-16,3.1875
1988-03-17,3.3125
1988-03-18,3.28125
1988-03-21,3.25
1988-03-22,3.34375
1988-03-23,3.34375
1988-03-24,3.25
1988-03-25,3.15625
1988-03-28,3.25
1988-03-29,3.40625
1988-03-30,3.40625
1988-03-31,3.375
1988-04-04,3.40625
1988-04-05,3.40625
1988-04-06,3.3125
1988-04-07,3.3125
1988-04-08,3.375
1988-04-11,3.375
1988-04-12,3.4375
1988-04-13,3.375
1988-04-14,3.21875
1988-04-15,3.125
1988-04-18,3.1875
1988-04-19,3.125
1988-04-20,3.0625
1988-04-21,3.15625
1988-04-22,3.25
1988-04-25,3.1875
1988-04-26,3.15625
1988-04-27,3.15625
1988-04-28,3.15625
1988-04-29,3.15625
1988-05-02,3.125
1988-05-03,3.1875
1988-05-04,3.09375
1988-05-05,3.125
1988-05-06,3.09375
1988-05-09,2.96875
1988-05-10,2.9375
1988-05-11,2.875
1988-05-12,2.9375
1988-05-13,2.96875
1988-05-16,3.03125
1988-05-17,3.09375
1988-05-18,3.0625
1988-05-19,3.03125
1988-05-20,3.03125
1988-05-23,3.0
1988-05-24,3.03125
1988-05-25,3.09375
1988-05-26,3.0625
1988-05-27,3.0625
1988-05-31,3.0625
1988-06-01,3.15625
1988-06-02,3.15625
1988-06-03,3.125
1988-06-06,3.15625
1988-06-07,3.1875
1988-06-08,3.28125
1988-06-09,3.3125
1988-06-10,3.28125
1988-06-13,3.25
1988-06-14,3.28125
1988-06-15,3.28125
1988-06-16,3.25
1988-06-17,3.25
1988-06-20,3.09375
1988-06-21,3.125
1988-06-22,3.125
1988-06-23,3.21875
1988-06-24,3.3125
1988-06-27,3.3125
1988-06-28,3.3125
1988-06-29,3.28125
1988-06-30,3.28125
1988-07-01,3.25
1988-07-05,3.3125
1988-07-06,3.25
1988-07-07,3.25
1988-07-08,3.28125
1988-07-11,3.25
1988-07-12,3.25
1988-07-13,3.34375
1988-07-14,3.40625
1988-07-15,3.3125
1988-07-18,3.28125
1988-07-19,3.25
1988-07-20,3.25
1988-07-21,3.1875
1988-07-22,3.09375
1988-07-25,3.09375
1988-07-26,3.125
1988-07-27,3.15625
1988-07-28,3.15625
1988-07-29,3.15625
1988-08-01,3.15625
1988-08-02,3.15625
1988-08-03,3.125
1988-08-04,3.15625
1988-08-05,3.15625
1988-08-08,3.15625
1988-08-09,3.09375
1988-08-10,3.03125
1988-08-11,3.0
1988-08-12,3.0
1988-08-15,2.90625
1988-08-16,2.90625
1988-08-17,3.1875
1988-08-18,3.3125
1988-08-19,3.21875
1988-08-22,3.15625
1988-08-23,3.15625
1988-08-24,3.15625
1988-08-25,3.15625
1988-08-26,3.15625
1988-08-29,3.28125
1988-08-30,3.3125
1988-08-31,3.65625
1988-09-01,3.625
1988-09-02,3.65625
1988-09-06,3.6875
1988-09-07,3.59375
1988-09-08,3.625
1988-09-09,3.625
1988-09-12,3.65625
1988-09-13,3.625
1988-09-14,3.65625
1988-09-15,3.5625
1988-09-16,3.625
1988-09-19,3.59375
1988-09-20,3.65625
1988-09-21,3.65625
1988-09-22,3.59375
1988-09-23,3.5625
1988-09-26,3.59375
1988-09-27,3.59375
1988-09-28,3.59375
1988-09-29,3.6875
1988-09-30,3.6875
1988-10-03,3.625
1988-10-04,3.6875
1988-10-05,3.46875
1988-10-06,3.5
1988-10-07,3.46875
1988-10-10,3.46875
1988-10-11,3.46875
1988-10-12,3.46875
1988-10-13,3.4375
1988-10-14,3.46875
1988-10-17,3.5625
1988-10-18,3.53125
1988-10-19,3.59375
1988-10-20,3.59375
1988-10-21,3.46875
1988-10-24,3.5
1988-10-25,3.5
1988-10-26,3.46875
1988-10-27,3.46875
1988-10-28,3.5
1988-10-31,3.40625
1988-11-01,3.4375
1988-11-02,3.40625
1988-11-03,3.375
1988-11-04,3.375
1988-11-07,3.40625
1988-11-08,3.375
1988-11-09,3.4375
1988-11-10,3.40625
1988-11-11,3.46875
1988-11-14,3.4375
1988-11-15,3.5
1988-11-16,3.4375
1988-11-17,3.46875
1988-11-18,3.46875
1988-11-21,3.46875
1988-11-22,3.5
1988-11-23,3.53125
1988-11-25,3.625
1988-11-28,3.5625
1988-11-29,3.5
1988-11-30,3.53125
1988-12-01,3.53125
1988-12-02,3.5
1988-12-05,3.5
1988-12-06,3.53125
1988-12-07,3.5625
1988-12-08,3.53125
1988-12-09,3.53125
1988-12-12,3.53125
1988-12-13,3.59375
1988-12-14,3.625
1988-12-15,3.625
1988-12-16,3.59375
1988-12-19,3.59375
1988-12-20,3.625
1988-12-21,3.65625
1988-12-22,3.59375
1988-12-23,3.625
1988-12-27,3.65625
1988-12-28,3.78125
1988-12-29,3.78125
1988-12-30,3.875
1989-01-03,3.78125
1989-01-04,3.8125
1989-01-05,3.875
1989-01-06,3.84375
1989-01-09,3.875
1989-01-10,3.96875
1989-01-11,4.03125
1989-01-12,4.125
1989-01-13,4.1875
1989-01-16,4.15625
1989-01-17,4.125
1989-01-18,4.25
1989-01-19,4.15625
1989-01-20,4.21875
1989-01-23,4.15625
1989-01-24,4.15625
1989-01-25,4.25
1989-01-26,4.40625
1989-01-27,4.5625
1989-01-30,4.5
1989-01-31,4.5
1989-02-01,4.46875
1989-02-02,4.46875
1989-02-03,4.53125
1989-02-06,4.4375
1989-02-07,4.4375
1989-02-08,4.375
1989-02-09,4.21875
1989-02-10,4.15625
1989-02-13,4.125
1989-02-14,4.21875
1989-02-15,4.25
1989-02-16,4.21875
1989-02-17,4.21875
1989-02-21,4.125
1989-02-22,4.09375
1989-02-23,4.125
1989-02-24,4.15625
1989-02-27,4.15625
1989-02-28,4.125
1989-03-01,4.09375
1989-03-02,4.09375
1989-03-03,4.125
1989-03-06,4.0625
1989-03-07,3.9375
1989-03-08,4.0
1989-03-09,4.0
1989-03-10,3.9375
1989-03-13,3.9375
1989-03-14,4.0
1989-03-15,4.0
1989-03-16,4.0
1989-03-17,3.875
1989-03-20,3.8125
1989-03-21,3.8125
1989-03-22,3.8125
1989-03-23,3.78125
1989-03-27,3.75
1989-03-28,3.875
1989-03-29,4.03125
1989-03-30,4.03125
1989-03-31,4.0
1989-04-03,4.03125
1989-04-04,4.03125
1989-04-05,4.0625
1989-04-06,4.0625
1989-04-07,4.0
1989-04-10,4.0625
1989-04-11,4.0625
1989-04-12,4.03125
1989-04-13,4.03125
1989-04-14,4.125
1989-04-17,4.34375
1989-04-18,4.5
1989-04-19,4.5
1989-04-20,4.375
1989-04-21,4.3125
1989-04-24,4.4375
1989-04-25,4.4375
1989-04-26,4.40625
1989-04-27,4.46875
1989-04-28,4.375
1989-05-01,4.25
1989-05-02,4.25
1989-05-03,4.25
1989-05-04,4.21875
1989-05-05,4.28125
1989-05-08,4.28125
1989-05-09,4.25
1989-05-10,4.25
1989-05-11,4.34375
1989-05-12,4.5
1989-05-15,4.46875
1989-05-16,4.40625
1989-05-17,4.46875
1989-05-18,4.46875
1989-05-19,4.5
1989-05-22,4.46875
1989-05-23,4.40625
1989-05-24,4.40625
1989-05-25,4.40625
1989-05-26,4.40625
1989-05-30,4.34375
1989-05-31,4.5
1989-06-01,4.59375
1989-06-02,4.78125
1989-06-05,4.78125
1989-06-06,4.875
1989-06-07,5.25
1989-06-08,5.28125
1989-06-09,5.28125
1989-06-12,5.28125
1989-06-13,5.09375
1989-06-14,5.15625
1989-06-15,5.125
1989-06-16,5.15625
1989-06-19,5.1875
1989-06-20,5.25
1989-06-21,5.09375
1989-06-22,5.1875
1989-06-23,5.28125
1989-06-26,5.125
1989-06-27,5.1875
1989-06-28,5.125
1989-06-29,4.90625
1989-06-30,4.8125
1989-07-03,4.75
1989-07-05,4.96875
1989-07-06,5.125
1989-07-07,5.1875
1989-07-10,5.34375
1989-07-11,5.375
1989-07-12,5.5625
1989-07-13,5.6875
1989-07-14,5.65625
1989-07-17,5.65625
1989-07-18,5.625
1989-07-19,5.5625
1989-07-20,5.5
1989-07-21,5.40625
1989-07-24,5.375
1989-07-25,5.46875
1989-07-26,5.71875
1989-07-27,5.84375
1989-07-28,5.75
1989-07-31,5.75
1989-08-01,5.75
1989-08-02,5.46875
1989-08-03,5.5625
1989-08-04,5.625
1989-08-07,5.875
1989-08-08,6.1875
1989-08-09,6.0625
1989-08-10,6.21875
1989-08-11,6.0625
1989-08-14,5.96875
1989-08-15,6.03125
1989-08-16,6.03125
1989-08-17,5.96875
1989-08-18,6.0
1989-08-21,6.03125
1989-08-22,6.0
1989-08-23,6.28125
1989-08-24,6.5
1989-08-25,6.25
1989-08-28,6.25
1989-08-29,6.21875
1989-08-30,6.09375
1989-08-31,6.125
1989-09-01,6.125
1989-09-05,6.1875
1989-09-06,6.15625
1989-09-07,6.15625
1989-09-08,6.21875
1989-09-11,6.125
1989-09-12,6.1875
1989-09-13,6.15625
1989-09-14,6.09375
1989-09-15,5.90625
1989-09-18,5.875
1989-09-19,5.5625
1989-09-20,5.96875
1989-09-21,6.0
1989-09-22,6.0
1989-09-25,5.875
1989-09-26,5.8125
1989-09-27,6.0
1989-09-28,6.1875
1989-09-29,6.1875
1989-10-02,6.0625
1989-10-03,6.15625
1989-10-04,6.125
1989-10-05,6.15625
1989-10-06,6.0625
1989-10-09,5.9375
1989-10-10,6.0
1989-10-11,5.625
1989-10-12,5.6875
1989-10-13,5.46875
1989-10-16,5.53125
1989-10-17,5.28125
1989-10-18,5.59375
1989-10-19,5.6875
1989-10-20,5.625
1989-10-23,5.1875
1989-10-24,5.40625
1989-10-25,5.40625
1989-10-26,5.21875
1989-10-27,5.125
1989-10-30,4.9375
1989-10-31,5.0625
1989-11-01,5.40625
1989-11-02,5.21875
1989-11-03,5.15625
1989-11-06,5.0625
1989-11-07,5.03125
1989-11-08,5.03125
1989-11-09,5.0
1989-11-10,5.0625
1989-11-13,4.96875
1989-11-14,4.90625
1989-11-15,4.90625
1989-11-16,4.875
1989-11-17,4.75
1989-11-20,4.46875
1989-11-21,4.5
1989-11-22,4.4375
1989-11-24,4.375
1989-11-27,4.40625
1989-11-28,4.875
1989-11-29,4.875
1989-11-30,4.90625
1989-12-01,4.96875
1989-12-04,4.875
1989-12-05,4.8125
1989-12-06,4.8125
1989-12-07,4.90625
1989-12-08,4.90625
1989-12-11,4.875
1989-12-12,4.90625
1989-12-13,4.96875
1989-12-14,5.1875
1989-12-15,5.1875
1989-12-18,5.0
1989-12-19,4.90625
1989-12-20,4.96875
1989-12-21,5.03125
1989-12-22,5.0
1989-12-26,4.9375
1989-12-27,4.9375
1989-12-28,4.90625
1989-12-29,4.96875
1990-01-02,5.0
1990-01-03,4.9375
1990-01-04,5.03125
1990-01-05,5.0
1990-01-08,4.96875
1990-01-09,4.875
1990-01-10,4.8125
1990-01-11,4.84375
1990-01-12,4.71875
1990-01-15,4.71875
1990-01-16,4.75
1990-01-17,4.90625
1990-01-18,4.84375
1990-01-19,4.78125
1990-01-22,4.6875
1990-01-23,4.78125
1990-01-24,4.71875
1990-01-25,4.75
1990-01-26,4.71875
1990-01-29,4.75
1990-01-30,4.5
1990-01-31,4.625
1990-02-01,4.5625
1990-02-02,4.53125
1990-02-05,4.53125
1990-02-06,4.53125
1990-02-07,4.4375
1990-02-08,4.4375
1990-02-09,4.5625
1990-02-12,4.625
1990-02-13,4.625
1990-02-14,4.625
1990-02-15,4.59375
1990-02-16,4.6875
1990-02-20,4.65625
1990-02-21,4.625
1990-02-22,4.71875
1990-02-23,4.59375
1990-02-26,4.65625
1990-02-27,4.53125
1990-02-28,4.40625
1990-03-01,4.3125
1990-03-02,4.25
1990-03-05,4.3125
1990-03-06,4.5
1990-03-07,4.5
1990-03-08,4.46875
1990-03-09,4.71875
1990-03-12,4.875
1990-03-13,4.875
1990-03-14,4.90625
1990-03-15,5.125
1990-03-16,5.1875
1990-03-19,5.1875
1990-03-20,5.375
1990-03-21,5.21875
1990-03-22,5.09375
1990-03-23,5.09375
1990-03-26,5.28125
1990-03-27,5.375
1990-03-28,5.375
1990-03-29,5.40625
1990-03-30,5.3125
1990-04-02,5.125
1990-04-03,5.03125
1990-04-04,4.96875
1990-04-05,4.96875
1990-04-06,4.9375
1990-04-09,5.0625
1990-04-10,5.21875
1990-04-11,5.28125
1990-04-12,5.3125
1990-04-16,5.28125
1990-04-17,5.15625
1990-04-18,5.0625
1990-04-19,4.96875
1990-04-20,4.84375
1990-04-23,4.78125
1990-04-24,4.75
1990-04-25,4.78125
1990-04-26,4.84375
1990-04-27,4.84375
1990-04-30,4.9375
1990-05-01,5.0
1990-05-02,5.21875
1990-05-03,5.1875
1990-05-04,5.21875
1990-05-07,5.25
1990-05-08,5.1875
1990-05-09,5.125
1990-05-10,5.125
1990-05-11,5.1875
1990-05-14,5.03125
1990-05-15,5.25
1990-05-16,5.4375
1990-05-17,5.59375
1990-05-18,5.625
1990-05-21,5.84375
1990-05-22,5.625
1990-05-23,5.71875
1990-05-24,5.65625
1990-05-25,5.625
1990-05-29,5.78125
1990-05-30,5.75
1990-05-31,5.78125
1990-06-01,5.96875
1990-06-04,6.0
1990-06-05,6.0625
1990-06-06,6.0
1990-06-07,5.9375
1990-06-08,5.78125
1990-06-11,5.75
1990-06-12,5.90625
1990-06-13,6.0
1990-06-14,6.1875
1990-06-15,6.125
1990-06-18,6.03125
1990-06-19,6.1875
1990-06-20,6.15625
1990-06-21,6.09375
1990-06-22,6.0625
1990-06-25,5.90625
1990-06-26,6.0
1990-06-27,6.0625
1990-06-28,6.125
1990-06-29,6.0625
1990-07-02,5.9375
1990-07-03,6.03125
1990-07-05,5.8125
1990-07-06,5.8125
1990-07-09,5.71875
1990-07-10,5.75
1990-07-11,5.8125
1990-07-12,5.9375
1990-07-13,6.0
1990-07-16,5.9375
1990-07-17,5.84375
1990-07-18,5.78125
1990-07-19,5.78125
1990-07-20,5.8125
1990-07-23,5.71875
1990-07-24,5.65625
1990-07-25,5.46875
1990-07-26,5.53125
1990-07-27,5.40625
1990-07-30,5.21875
1990-07-31,5.21875
1990-08-01,5.1875
