Date,ELY
1992-02-28,4.046875
1992-03-02,3.671875
1992-03-03,3.609375
1992-03-04,3.71875
1992-03-05,3.515625
1992-03-06,3.59375
1992-03-09,3.625
1992-03-10,3.765625
1992-03-11,3.71875
1992-03-12,3.765625
1992-03-13,3.703125
1992-03-16,3.609375
1992-03-17,3.578125
1992-03-18,3.578125
1992-03-19,3.53125
1992-03-20,3.421875
1992-03-23,3.21875
1992-03-24,3.1875
1992-03-25,3.203125
1992-03-26,3.15625
1992-03-27,3.0625
1992-03-30,3.09375
1992-03-31,3.140625
1992-04-01,3.34375
1992-04-02,3.234375
1992-04-03,3.265625
1992-04-06,3.484375
1992-04-07,3.4375
1992-04-08,3.3125
1992-04-09,3.375
1992-04-10,3.453125
1992-04-13,3.46875
1992-04-14,3.59375
1992-04-15,3.53125
1992-04-16,3.421875
1992-04-20,3.3125
1992-04-21,3.25
1992-04-22,3.21875
1992-04-23,3.3125
1992-04-24,3.28125
1992-04-27,3.296875
1992-04-28,3.0625
1992-04-29,3.0625
1992-04-30,3.0625
1992-05-01,3.0
1992-05-04,3.0
1992-05-05,2.890625
1992-05-06,3.109375
1992-05-07,3.125
1992-05-08,3.0625
1992-05-11,3.140625
1992-05-12,3.09375
1992-05-13,3.078125
1992-05-14,3.109375
1992-05-15,3.046875
1992-05-18,3.015625
1992-05-19,3.03125
1992-05-20,3.078125
1992-05-21,3.046875
1992-05-22,3.078125
1992-05-26,3.078125
1992-05-27,3.046875
1992-05-28,2.984375
1992-05-29,2.984375
1992-06-01,3.046875
1992-06-02,3.078125
1992-06-03,3.203125
1992-06-04,3.234375
1992-06-05,3.171875
1992-06-08,3.078125
1992-06-09,3.03125
1992-06-10,2.984375
1992-06-11,2.953125
1992-06-12,2.765625
1992-06-15,2.609375
1992-06-16,2.484375
1992-06-17,2.46875
1992-06-18,2.359375
1992-06-19,2.375
1992-06-22,2.3125
1992-06-23,2.296875
1992-06-24,2.328125
1992-06-25,2.296875
1992-06-26,2.34375
1992-06-29,2.453125
1992-06-30,2.671875
1992-07-01,2.953125
1992-07-02,3.03125
1992-07-06,2.875
1992-07-07,2.8125
1992-07-08,2.671875
1992-07-09,2.625
1992-07-10,2.671875
1992-07-13,2.953125
1992-07-14,3.03125
1992-07-15,2.984375
1992-07-16,3.109375
1992-07-17,3.15625
1992-07-20,3.125
1992-07-21,3.375
1992-07-22,3.46875
1992-07-23,3.28125
1992-07-24,3.140625
1992-07-27,3.203125
1992-07-28,3.203125
1992-07-29,3.1875
1992-07-30,3.15625
1992-07-31,3.203125
1992-08-03,3.171875
1992-08-04,3.171875
1992-08-05,3.109375
1992-08-06,3.0625
1992-08-07,3.0625
1992-08-10,3.015625
1992-08-11,3.03125
1992-08-12,3.0
1992-08-13,2.953125
1992-08-14,3.0
1992-08-17,3.0
1992-08-18,2.9375
1992-08-19,2.875
1992-08-20,2.84375
1992-08-21,2.84375
1992-08-24,2.8125
1992-08-25,2.796875
1992-08-26,2.796875
1992-08-27,2.828125
1992-08-28,2.796875
1992-08-31,2.90625
1992-09-01,2.9375
1992-09-02,3.0625
1992-09-03,3.0
1992-09-04,2.953125
1992-09-08,2.828125
1992-09-09,2.8125
1992-09-10,2.9375
1992-09-11,2.875
1992-09-14,2.984375
1992-09-15,3.015625
1992-09-16,3.015625
1992-09-17,2.984375
1992-09-18,2.96875
1992-09-21,2.96875
1992-09-22,2.921875
1992-09-23,2.875
1992-09-24,2.875
1992-09-25,2.953125
1992-09-28,2.90625
1992-09-29,2.96875
1992-09-30,2.953125
1992-10-01,2.9375
1992-10-02,3.0
1992-10-05,3.0
1992-10-06,3.109375
1992-10-07,3.296875
1992-10-08,3.28125
1992-10-09,3.328125
1992-10-12,3.3125
1992-10-13,3.296875
1992-10-14,3.390625
1992-10-15,3.390625
1992-10-16,3.46875
1992-10-19,3.390625
1992-10-20,3.46875
1992-10-21,3.5625
1992-10-22,3.390625
1992-10-23,3.359375
1992-10-26,3.3125
1992-10-27,3.359375
1992-10-28,3.40625
1992-10-29,3.578125
1992-10-30,3.625
1992-11-02,3.65625
1992-11-03,3.59375
