Date,FCX
1995-07-10,12.25
1995-07-11,12.5
1995-07-12,13.0625
1995-07-13,13.0625
1995-07-14,13.0
1995-07-17,12.9375
1995-07-18,12.625
1995-07-19,11.875
1995-07-20,11.8125
1995-07-21,12.0625
1995-07-24,12.0625
1995-07-25,12.125
1995-07-26,12.5625
1995-07-27,12.875
1995-07-28,13.6875
1995-07-31,13.5
1995-08-01,13.3125
1995-08-02,12.6875
1995-08-03,13.0
1995-08-04,12.6875
1995-08-07,12.5625
1995-08-08,12.4375
1995-08-09,12.25
1995-08-10,12.375
1995-08-11,12.5
1995-08-14,12.25
1995-08-15,12.3125
1995-08-16,12.375
1995-08-17,12.5625
1995-08-18,12.25
1995-08-21,12.125
1995-08-22,12.0
1995-08-23,11.8125
1995-08-24,11.625
1995-08-25,11.8125
1995-08-28,11.625
1995-08-29,11.4375
1995-08-30,11.5625
1995-08-31,11.6875
1995-09-01,11.75
1995-09-05,11.8125
1995-09-06,11.9375
1995-09-07,11.625
1995-09-08,11.625
1995-09-11,11.875
1995-09-12,12.0
1995-09-13,12.1875
1995-09-14,12.25
1995-09-15,12.375
1995-09-18,12.4375
1995-09-19,12.4375
1995-09-20,12.375
1995-09-21,12.375
1995-09-22,12.3125
1995-09-25,12.375
1995-09-26,12.3125
1995-09-27,12.3125
1995-09-28,12.6875
1995-09-29,12.8125
1995-10-02,12.875
1995-10-03,12.8125
1995-10-04,12.5
1995-10-05,12.4375
1995-10-06,12.5
1995-10-09,12.5
1995-10-10,12.5625
1995-10-11,12.5625
1995-10-12,12.625
1995-10-13,12.8125
1995-10-16,12.625
1995-10-17,12.5
1995-10-18,12.6875
1995-10-19,12.6875
1995-10-20,12.375
1995-10-23,12.25
1995-10-24,12.3125
1995-10-25,11.9375
1995-10-26,11.75
1995-10-27,11.875
1995-10-30,11.8125
1995-10-31,11.375
1995-11-01,11.75
1995-11-02,11.5625
1995-11-03,11.625
1995-11-06,11.625
1995-11-07,11.8125
1995-11-08,11.875
1995-11-09,11.9375
1995-11-10,12.375
1995-11-13,12.5
1995-11-14,12.625
1995-11-15,12.625
1995-11-16,12.6875
1995-11-17,12.5
1995-11-20,12.6875
1995-11-21,12.8125
1995-11-22,13.125
1995-11-24,13.25
1995-11-27,13.5625
1995-11-28,13.5625
1995-11-29,13.4375
1995-11-30,13.5625
1995-12-01,13.75
1995-12-04,14.125
1995-12-05,14.75
1995-12-06,14.9375
1995-12-07,14.625
1995-12-08,14.5625
1995-12-11,14.5
1995-12-12,14.8125
1995-12-13,15.0
1995-12-14,14.9375
1995-12-15,14.75
1995-12-18,14.4375
1995-12-19,14.0
1995-12-20,13.625
1995-12-21,13.6875
1995-12-22,13.9375
1995-12-26,13.9375
1995-12-27,13.75
1995-12-28,13.6875
1995-12-29,14.0625
1996-01-02,13.9375
1996-01-03,13.875
1996-01-04,13.8125
1996-01-05,13.9375
1996-01-08,13.9375
1996-01-09,13.9375
1996-01-10,14.3125
1996-01-11,14.0625
1996-01-12,14.125
1996-01-15,13.8125
1996-01-16,14.1875
1996-01-17,14.1875
1996-01-18,14.0
1996-01-19,14.1875
1996-01-22,14.375
1996-01-23,14.3125
1996-01-24,14.375
1996-01-25,14.6875
1996-01-26,14.6875
1996-01-29,14.625
1996-01-30,14.8125
1996-01-31,14.8125
1996-02-01,15.4375
1996-02-02,15.6875
1996-02-05,15.875
1996-02-06,15.75
1996-02-07,15.5
1996-02-08,15.4375
1996-02-09,15.5
1996-02-12,15.625
1996-02-13,15.5
1996-02-14,15.8125
1996-02-15,15.75
1996-02-16,15.6875
1996-02-20,15.4375
1996-02-21,15.5625
1996-02-22,15.8125
1996-02-23,16.125
1996-02-26,16.0625
1996-02-27,16.3125
1996-02-28,16.3125
1996-02-29,16.3125
1996-03-01,16.8125
1996-03-04,16.1875
1996-03-05,16.1875
1996-03-06,16.25
1996-03-07,16.0625
1996-03-08,15.625
1996-03-11,15.5625
1996-03-12,14.875
1996-03-13,14.9375
1996-03-14,15.625
1996-03-15,15.4375
1996-03-18,15.6875
1996-03-19,15.6875
1996-03-20,15.4375
1996-03-21,15.5
1996-03-22,15.4375
1996-03-25,15.3125
1996-03-26,16.5
1996-03-27,16.375
1996-03-28,16.0
1996-03-29,15.8125
1996-04-01,15.5
1996-04-02,15.875
1996-04-03,16.5625
1996-04-04,16.75
1996-04-08,16.9375
1996-04-09,17.0625
1996-04-10,17.0
1996-04-11,17.1875
1996-04-12,16.6875
1996-04-15,16.75
1996-04-16,16.75
1996-04-17,16.25
1996-04-18,16.3125
1996-04-19,16.0
1996-04-22,16.0
1996-04-23,16.625
1996-04-24,16.8125
1996-04-25,17.1875
1996-04-26,16.875
1996-04-29,16.6875
1996-04-30,16.4375
1996-05-01,16.4375
1996-05-02,16.1875
1996-05-03,16.125
1996-05-06,17.0
1996-05-07,17.1875
1996-05-08,17.75
1996-05-09,17.25
1996-05-10,17.5625
1996-05-13,17.8125
1996-05-14,17.875
1996-05-15,18.0
1996-05-16,18.0
1996-05-17,17.8125
1996-05-20,17.1875
1996-05-21,17.75
1996-05-22,17.3125
1996-05-23,17.4375
1996-05-24,17.1875
1996-05-28,16.875
1996-05-29,16.5
1996-05-30,16.625
1996-05-31,16.625
1996-06-03,16.75
1996-06-04,16.3125
1996-06-05,16.25
1996-06-06,15.5625
1996-06-07,16.0625
1996-06-10,16.4375
1996-06-11,16.0625
1996-06-12,15.8125
1996-06-13,15.4375
1996-06-14,15.25
1996-06-17,15.75
1996-06-18,15.8125
1996-06-19,16.25
1996-06-20,15.75
1996-06-21,15.875
1996-06-24,15.875
1996-06-25,15.8125
1996-06-26,15.5625
1996-06-27,15.5625
1996-06-28,15.9375
1996-07-01,15.875
1996-07-02,16.125
1996-07-03,16.0
1996-07-05,15.8125
1996-07-08,16.0
1996-07-09,16.1875
1996-07-10,15.8125
1996-07-11,15.75
1996-07-12,15.5625
1996-07-15,15.1875
1996-07-16,14.9375
1996-07-17,14.8125
1996-07-18,14.875
1996-07-19,14.75
1996-07-22,14.4375
1996-07-23,14.4375
1996-07-24,14.5625
1996-07-25,14.8125
1996-07-26,14.8125
1996-07-29,14.625
1996-07-30,14.3125
1996-07-31,14.8125
