Date,MSTR
1998-06-11,105.625
1998-06-12,104.375
1998-06-15,102.1875
1998-06-16,103.75
1998-06-17,114.375
1998-06-18,130.0
1998-06-19,140.625
1998-06-22,140.0
1998-06-23,130.0
1998-06-24,126.875
1998-06-25,129.375
1998-06-26,136.875
1998-06-29,142.5
1998-06-30,141.25
1998-07-01,138.75
1998-07-02,131.25
1998-07-06,141.25
1998-07-07,137.1875
1998-07-08,139.375
1998-07-09,140.3125
1998-07-10,156.25
1998-07-13,196.25
1998-07-14,195.0
1998-07-15,183.75
1998-07-16,168.125
1998-07-17,167.5
1998-07-20,188.4375
1998-07-21,191.25
1998-07-22,185.0
1998-07-23,195.0
1998-07-24,190.0
1998-07-27,180.0
1998-07-28,181.25
1998-07-29,175.0
1998-07-30,193.75
1998-07-31,180.0
1998-08-03,178.125
1998-08-04,170.625
1998-08-05,170.625
1998-08-06,186.875
1998-08-07,185.0
1998-08-10,192.5
1998-08-11,183.75
1998-08-12,196.25
1998-08-13,194.375
1998-08-14,196.875
1998-08-17,189.375
1998-08-18,197.5
1998-08-19,196.875
1998-08-20,204.375
1998-08-21,200.0
1998-08-24,212.5
1998-08-25,222.5
1998-08-26,210.625
1998-08-27,194.0625
1998-08-28,174.375
1998-08-31,145.9375
1998-09-01,148.75
1998-09-02,144.0625
1998-09-03,129.375
1998-09-04,120.625
1998-09-08,143.125
1998-09-09,138.75
1998-09-10,131.25
1998-09-11,141.5625
1998-09-14,167.5
1998-09-15,181.875
1998-09-16,183.75
1998-09-17,181.875
1998-09-18,190.9375
1998-09-21,191.25
1998-09-22,200.0
1998-09-23,190.0
1998-09-24,192.1875
1998-09-25,200.0
1998-09-28,190.625
1998-09-29,195.0
1998-09-30,187.5
1998-10-01,169.375
1998-10-02,160.0
1998-10-05,146.25
1998-10-06,129.6875
1998-10-07,117.5
1998-10-08,105.0
1998-10-09,127.5
1998-10-12,140.0
1998-10-13,122.8125
1998-10-14,120.0
1998-10-15,128.75
1998-10-16,122.5
1998-10-19,110.9375
1998-10-20,122.5
1998-10-21,125.0
1998-10-22,122.5
1998-10-23,123.125
1998-10-26,122.5
1998-10-27,121.875
1998-10-28,119.375
1998-10-29,139.0625
1998-10-30,121.875
