Date,PLUG
1999-10-29,160.0
1999-11-01,160.0
1999-11-02,178.75
1999-11-03,186.25
1999-11-04,190.625
1999-11-05,173.75
1999-11-08,181.25
1999-11-09,186.25
1999-11-10,180.625
1999-11-11,180.625
1999-11-12,180.0
1999-11-15,174.375
1999-11-16,170.625
1999-11-17,170.0
1999-11-18,170.0
1999-11-19,168.75
1999-11-22,167.5
1999-11-23,167.5
1999-11-24,166.875
1999-11-26,167.5
1999-11-29,170.0
1999-11-30,183.75
1999-12-01,193.125
1999-12-02,208.125
1999-12-03,241.875
1999-12-06,275.0
1999-12-07,285.0
1999-12-08,301.25
1999-12-09,287.5
1999-12-10,316.25
1999-12-13,322.5
1999-12-14,275.0
1999-12-15,258.75
1999-12-16,238.75
1999-12-17,245.0
1999-12-20,260.625
1999-12-21,282.5
1999-12-22,267.5
1999-12-23,280.0
1999-12-27,285.0
1999-12-28,271.25
1999-12-29,261.25
1999-12-30,280.0
1999-12-31,282.5
2000-01-03,270.0
2000-01-04,257.5
2000-01-05,295.0
2000-01-06,362.5
2000-01-07,790.0
2000-01-10,588.125
2000-01-11,506.875
2000-01-12,568.75
2000-01-13,578.75
2000-01-14,550.0
2000-01-18,635.0
2000-01-19,777.5
2000-01-20,850.0
2000-01-21,1088.75
2000-01-24,1365.0
2000-01-25,1310.0
2000-01-26,1198.75
2000-01-27,989.375
2000-01-28,835.0
2000-01-31,937.5
2000-02-01,1134.375
2000-02-02,1030.0
2000-02-03,1110.0
2000-02-04,1150.0
2000-02-07,1090.0
2000-02-08,1130.0
2000-02-09,1115.0
2000-02-10,1091.25
2000-02-11,1121.25
2000-02-14,1335.0
2000-02-15,1263.75
2000-02-16,1196.25
2000-02-17,1287.5
2000-02-18,1310.0
2000-02-22,1303.75
2000-02-23,1269.375
2000-02-24,1206.25
2000-02-25,1152.5
2000-02-28,1067.5
2000-02-29,1174.375
2000-03-01,1172.5
2000-03-02,1210.0
2000-03-03,1208.75
2000-03-06,1171.25
2000-03-07,1110.0
2000-03-08,1168.75
2000-03-09,1191.25
2000-03-10,1497.5
2000-03-13,1400.0
2000-03-14,1170.0
2000-03-15,1182.5
2000-03-16,1235.0
2000-03-17,1218.75
2000-03-20,1105.625
2000-03-21,1064.375
2000-03-22,1092.5
2000-03-23,1080.0
2000-03-24,1015.625
2000-03-27,968.125
2000-03-28,916.875
2000-03-29,847.5
2000-03-30,837.5
2000-03-31,850.0
2000-04-03,761.875
2000-04-04,830.0
2000-04-05,920.0
2000-04-06,910.0
2000-04-07,887.5
2000-04-10,814.375
