Date,RCL
1993-04-28,9.125
1993-04-29,9.3125
1993-04-30,9.1875
1993-05-03,9.1875
1993-05-04,9.0625
1993-05-05,8.875
1993-05-06,8.8125
1993-05-07,8.875
1993-05-10,8.875
1993-05-11,8.9375
1993-05-12,8.8125
1993-05-13,8.75
1993-05-14,8.75
1993-05-17,8.625
1993-05-18,8.25
1993-05-19,8.4375
1993-05-20,8.125
1993-05-21,8.1875
1993-05-24,8.125
1993-05-25,7.9375
1993-05-26,8.25
1993-05-27,8.5
1993-05-28,8.6875
1993-06-01,8.5
1993-06-02,8.6875
1993-06-03,8.5
1993-06-04,8.5625
1993-06-07,8.625
1993-06-08,8.5625
1993-06-09,8.4375
1993-06-10,8.5625
1993-06-11,8.8125
1993-06-14,8.9375
1993-06-15,8.875
1993-06-16,8.9375
1993-06-17,8.9375
1993-06-18,8.875
1993-06-21,8.875
1993-06-22,8.875
1993-06-23,8.75
1993-06-24,8.8125
1993-06-25,9.1875
1993-06-28,9.5625
1993-06-29,9.5
1993-06-30,9.5
1993-07-01,9.625
1993-07-02,9.5
1993-07-06,9.3125
1993-07-07,9.25
1993-07-08,9.5
1993-07-09,9.5
1993-07-12,9.5
1993-07-13,9.5
1993-07-14,9.75
1993-07-15,9.75
1993-07-16,9.75
1993-07-19,9.75
1993-07-20,9.75
1993-07-21,9.9375
1993-07-22,10.0625
1993-07-23,9.875
1993-07-26,10.0625
1993-07-27,10.25
1993-07-28,11.0625
1993-07-29,11.4375
1993-07-30,11.6875
1993-08-02,11.625
1993-08-03,11.5
1993-08-04,11.8125
1993-08-05,12.1875
1993-08-06,11.9375
1993-08-09,12.0
1993-08-10,11.6875
1993-08-11,11.75
1993-08-12,11.75
1993-08-13,11.6875
1993-08-16,11.75
1993-08-17,11.9375
1993-08-18,12.0
1993-08-19,12.125
1993-08-20,12.0
1993-08-23,12.0
1993-08-24,12.0625
1993-08-25,12.3125
1993-08-26,12.0
1993-08-27,11.5625
1993-08-30,11.8125
1993-08-31,11.875
1993-09-01,12.0625
1993-09-02,12.4375
1993-09-03,12.25
1993-09-07,12.1875
1993-09-08,12.0625
1993-09-09,11.9375
1993-09-10,11.75
1993-09-13,11.8125
1993-09-14,11.4375
1993-09-15,11.4375
1993-09-16,11.5625
1993-09-17,11.5625
1993-09-20,11.875
1993-09-21,11.5625
1993-09-22,11.6875
1993-09-23,12.0
1993-09-24,12.0
1993-09-27,11.9375
1993-09-28,12.0
1993-09-29,12.125
1993-09-30,12.25
1993-10-01,12.0
1993-10-04,11.9375
1993-10-05,11.9375
1993-10-06,12.25
1993-10-07,12.1875
1993-10-08,11.8125
1993-10-11,12.0
1993-10-12,12.0625
1993-10-13,12.0
1993-10-14,11.8125
1993-10-15,11.75
1993-10-18,12.75
1993-10-19,12.5625
1993-10-20,12.25
1993-10-21,12.5625
1993-10-22,12.75
1993-10-25,13.125
1993-10-26,13.25
1993-10-27,13.5
1993-10-28,13.5
1993-10-29,13.25
1993-11-01,13.5
1993-11-02,13.1875
1993-11-03,13.0625
1993-11-04,12.75
1993-11-05,12.375
1993-11-08,12.4375
1993-11-09,12.5
1993-11-10,12.75
1993-11-11,12.8125
1993-11-12,12.8125
1993-11-15,13.0625
1993-11-16,13.25
1993-11-17,13.25
1993-11-18,12.8125
1993-11-19,12.8125
1993-11-22,12.5
1993-11-23,12.375
1993-11-24,12.9375
1993-11-26,12.9375
1993-11-29,12.9375
1993-11-30,12.875
1993-12-01,12.9375
1993-12-02,12.875
1993-12-03,12.9375
1993-12-06,12.6875
1993-12-07,12.5
1993-12-08,12.6875
1993-12-09,12.75
1993-12-10,12.75
1993-12-13,12.75
1993-12-14,12.5625
1993-12-15,12.3125
1993-12-16,12.125
1993-12-17,12.25
1993-12-20,12.375
1993-12-21,12.5625
1993-12-22,12.4375
1993-12-23,12.75
1993-12-27,12.9375
1993-12-28,13.375
1993-12-29,13.125
1993-12-30,13.25
1993-12-31,13.375
1994-01-03,13.25
1994-01-04,13.5625
1994-01-05,13.25
1994-01-06,13.1875
1994-01-07,13.1875
1994-01-10,13.5625
1994-01-11,13.375
1994-01-12,13.4375
1994-01-13,13.375
1994-01-14,13.4375
1994-01-17,14.125
1994-01-18,14.0
1994-01-19,13.75
1994-01-20,13.9375
1994-01-21,14.0
1994-01-24,14.0625
1994-01-25,14.0625
1994-01-26,13.875
1994-01-27,13.625
1994-01-28,13.5625
1994-01-31,13.5625
1994-02-01,13.5625
1994-02-02,13.5625
1994-02-03,13.4375
1994-02-04,13.375
1994-02-07,13.3125
1994-02-08,14.125
1994-02-09,14.0625
1994-02-10,14.0
1994-02-11,13.8125
1994-02-14,13.875
1994-02-15,13.625
1994-02-16,13.375
1994-02-17,13.5
1994-02-18,13.5
1994-02-22,13.25
1994-02-23,13.3125
1994-02-24,13.4375
1994-02-25,13.4375
1994-02-28,13.6875
1994-03-01,13.625
1994-03-02,13.25
1994-03-03,13.25
1994-03-04,13.4375
1994-03-07,13.4375
1994-03-08,13.5
1994-03-09,13.5
1994-03-10,13.4375
1994-03-11,13.125
1994-03-14,13.3125
1994-03-15,13.375
1994-03-16,13.375
1994-03-17,13.3125
1994-03-18,13.5
1994-03-21,13.625
1994-03-22,13.5
1994-03-23,13.6875
1994-03-24,13.5625
1994-03-25,13.5625
1994-03-28,13.5
1994-03-29,13.3125
1994-03-30,12.9375
1994-03-31,12.4375
1994-04-04,12.0
1994-04-05,12.375
1994-04-06,12.3125
1994-04-07,12.4375
1994-04-08,12.375
1994-04-11,12.4375
1994-04-12,12.6875
1994-04-13,12.6875
1994-04-14,12.6875
1994-04-15,12.75
1994-04-18,12.8125
1994-04-19,12.6875
1994-04-20,12.5625
1994-04-21,12.5
1994-04-22,12.625
1994-04-25,12.8125
1994-04-26,12.875
1994-04-28,13.375
1994-04-29,13.875
1994-05-02,13.9375
1994-05-03,13.875
1994-05-04,13.625
1994-05-05,13.75
1994-05-06,13.6875
1994-05-09,13.375
1994-05-10,13.3125
1994-05-11,13.3125
1994-05-12,13.625
1994-05-13,13.5
1994-05-16,13.8125
1994-05-17,13.75
1994-05-18,13.8125
1994-05-19,14.125
