Date,RY
1995-10-16,5.8125
1995-10-17,5.8125
1995-10-18,5.8125
1995-10-19,5.8125
1995-10-20,5.65625
1995-10-23,5.25
1995-10-24,5.34375
1995-10-25,5.21875
1995-10-26,5.1875
1995-10-27,5.40625
1995-10-30,5.40625
1995-10-31,5.625
1995-11-01,5.59375
1995-11-02,5.6875
1995-11-03,5.71875
1995-11-06,5.75
1995-11-07,5.6875
1995-11-08,5.65625
1995-11-09,5.59375
1995-11-10,5.59375
1995-11-13,5.71875
1995-11-14,5.71875
1995-11-15,5.625
1995-11-16,5.6875
1995-11-17,5.6875
1995-11-20,5.71875
1995-11-21,5.71875
1995-11-22,5.75
1995-11-24,5.78125
1995-11-27,5.8125
1995-11-28,5.78125
1995-11-29,5.71875
1995-11-30,5.75
1995-12-01,5.8125
1995-12-04,5.875
1995-12-05,5.875
1995-12-06,5.90625
1995-12-07,5.875
1995-12-08,5.875
1995-12-11,5.8125
1995-12-12,5.625
1995-12-13,5.625
1995-12-14,5.625
1995-12-15,5.65625
1995-12-18,5.5
1995-12-19,5.53125
1995-12-20,5.625
1995-12-21,5.625
1995-12-22,5.6875
1995-12-26,5.6875
1995-12-27,5.71875
1995-12-28,5.75
1995-12-29,5.75
1996-01-02,5.78125
1996-01-03,5.84375
1996-01-04,5.90625
1996-01-05,5.90625
1996-01-08,5.9375
1996-01-09,5.90625
1996-01-10,5.75
1996-01-11,5.71875
1996-01-12,5.71875
1996-01-15,5.78125
1996-01-16,5.8125
1996-01-17,5.90625
1996-01-18,5.9375
1996-01-19,5.96875
1996-01-22,5.875
1996-01-23,5.84375
1996-01-24,5.90625
1996-01-25,5.84375
1996-01-26,5.84375
1996-01-29,5.875
1996-01-30,6.03125
1996-01-31,6.03125
1996-02-01,6.03125
1996-02-02,6.03125
1996-02-05,5.90625
1996-02-06,5.9375
1996-02-07,5.9375
1996-02-08,6.0
1996-02-09,5.90625
1996-02-12,5.96875
1996-02-13,6.0
1996-02-14,5.90625
1996-02-15,5.875
1996-02-16,5.8125
1996-02-20,5.59375
1996-02-21,5.59375
1996-02-22,5.65625
1996-02-23,5.65625
1996-02-26,5.625
1996-02-27,5.625
1996-02-28,5.75
1996-02-29,5.75
1996-03-01,5.8125
1996-03-04,5.875
1996-03-05,5.875
1996-03-06,5.9375
1996-03-07,5.875
1996-03-08,5.71875
1996-03-11,5.6875
1996-03-12,5.71875
1996-03-13,5.75
1996-03-14,5.75
1996-03-15,5.78125
1996-03-18,5.8125
1996-03-19,5.84375
1996-03-20,5.84375
1996-03-21,5.8125
1996-03-22,5.84375
1996-03-25,5.8125
1996-03-26,5.875
1996-03-27,5.75
1996-03-28,5.75
1996-03-29,5.875
1996-04-01,5.875
1996-04-02,6.0
1996-04-03,5.96875
1996-04-04,6.0
1996-04-08,6.0
1996-04-09,5.9375
1996-04-10,5.9375
1996-04-11,5.9375
1996-04-12,5.90625
1996-04-15,5.9375
1996-04-16,5.96875
1996-04-17,5.96875
1996-04-18,5.96875
1996-04-19,6.0625
1996-04-22,6.0625
1996-04-23,6.0
1996-04-24,5.9375
1996-04-25,5.96875
1996-04-26,5.96875
1996-04-29,6.0
1996-04-30,5.96875
1996-05-01,5.9375
1996-05-02,5.9375
1996-05-03,5.90625
1996-05-06,5.90625
1996-05-07,5.9375
1996-05-08,5.9375
1996-05-09,5.9375
1996-05-10,6.0
1996-05-13,6.0625
1996-05-14,6.09375
1996-05-15,6.0625
1996-05-16,6.03125
1996-05-17,6.0
1996-05-20,6.0
1996-05-21,6.0625
1996-05-22,6.09375
1996-05-23,6.0625
1996-05-24,6.03125
1996-05-28,6.0
1996-05-29,5.9375
1996-05-30,5.96875
1996-05-31,6.0
1996-06-03,5.96875
1996-06-04,5.90625
1996-06-05,5.90625
1996-06-06,5.90625
1996-06-07,5.90625
1996-06-10,5.875
1996-06-11,5.84375
1996-06-12,5.84375
1996-06-13,5.84375
1996-06-14,5.90625
1996-06-17,5.875
1996-06-18,5.875
1996-06-19,5.9375
1996-06-20,5.9375
1996-06-21,5.9375
1996-06-24,6.0
1996-06-25,6.03125
1996-06-26,6.0
1996-06-27,5.96875
1996-06-28,6.03125
1996-07-01,6.03125
1996-07-02,6.09375
1996-07-03,6.15625
1996-07-05,6.125
1996-07-08,6.0625
1996-07-09,6.125
1996-07-10,6.125
1996-07-11,6.125
1996-07-12,6.125
1996-07-15,6.125
1996-07-16,6.09375
1996-07-17,6.125
1996-07-18,6.21875
1996-07-19,6.3125
1996-07-22,6.28125
1996-07-23,6.15625
1996-07-24,6.0625
1996-07-25,6.09375
1996-07-26,6.09375
1996-07-29,6.0625
1996-07-30,6.0625
1996-07-31,6.09375
1996-08-01,6.15625
1996-08-02,6.15625
1996-08-05,6.1875
1996-08-06,6.125
1996-08-07,6.1875
1996-08-08,6.25
1996-08-09,6.3125
1996-08-12,6.25
1996-08-13,6.28125
1996-08-14,6.21875
1996-08-15,6.21875
1996-08-16,6.25
1996-08-19,6.28125
1996-08-20,6.25
1996-08-21,6.3125
1996-08-22,6.28125
1996-08-23,6.375
1996-08-26,6.375
1996-08-27,6.34375
1996-08-28,6.34375
1996-08-29,6.34375
1996-08-30,6.28125
1996-09-03,6.28125
1996-09-04,6.28125
1996-09-05,6.28125
1996-09-06,6.3125
1996-09-09,6.3125
1996-09-10,6.375
1996-09-11,6.40625
1996-09-12,6.59375
1996-09-13,6.78125
1996-09-16,6.875
1996-09-17,6.84375
1996-09-18,6.90625
1996-09-19,6.96875
1996-09-20,6.96875
1996-09-23,6.9375
1996-09-24,7.03125
1996-09-25,7.21875
1996-09-26,7.15625
1996-09-27,7.15625
1996-09-30,7.125
1996-10-01,7.25
1996-10-02,7.4375
1996-10-03,7.375
1996-10-04,7.71875
1996-10-07,7.625
1996-10-08,7.5625
1996-10-09,7.53125
1996-10-10,7.5625
1996-10-11,7.71875
1996-10-14,7.8125
1996-10-15,7.75
1996-10-16,7.84375
1996-10-17,7.875
1996-10-18,8.0
1996-10-21,8.0
1996-10-22,8.0
1996-10-23,8.0
1996-10-24,7.9375
1996-10-25,8.0
1996-10-28,8.03125
1996-10-29,8.0
1996-10-30,8.15625
1996-10-31,8.25
1996-11-01,8.40625
1996-11-04,8.59375
1996-11-05,8.875
1996-11-06,9.21875
1996-11-07,9.0625
1996-11-08,8.875
1996-11-11,8.8125
1996-11-12,8.65625
1996-11-13,8.46875
1996-11-14,8.59375
1996-11-15,8.75
1996-11-18,8.75
1996-11-19,8.84375
1996-11-20,8.8125
1996-11-21,8.6875
1996-11-22,8.6875
1996-11-25,9.09375
1996-11-26,9.21875
1996-11-27,9.28125
1996-11-29,9.28125
1996-12-02,9.09375
1996-12-03,9.0625
1996-12-04,8.90625
1996-12-05,8.65625
1996-12-06,8.65625
1996-12-09,8.9375
1996-12-10,9.03125
1996-12-11,8.8125
1996-12-12,8.59375
1996-12-13,8.5
1996-12-16,8.40625
1996-12-17,8.375
1996-12-18,8.375
1996-12-19,8.6875
1996-12-20,8.53125
1996-12-23,8.46875
1996-12-24,8.5625
1996-12-26,8.5625
1996-12-27,8.6875
1996-12-30,8.84375
1996-12-31,8.75
1997-01-02,8.6875
1997-01-03,8.84375
1997-01-06,8.9375
1997-01-07,9.03125
1997-01-08,9.09375
1997-01-09,9.125
1997-01-10,9.0625
1997-01-13,9.125
1997-01-14,9.125
1997-01-15,9.25
1997-01-16,9.4375
1997-01-17,9.5625
1997-01-20,9.46875
1997-01-21,9.375
1997-01-22,9.375
1997-01-23,9.3125
1997-01-24,9.28125
1997-01-27,9.25
1997-01-28,9.28125
1997-01-29,9.25
1997-01-30,9.28125
1997-01-31,9.28125
1997-02-03,9.40625
1997-02-04,9.53125
1997-02-05,9.5625
1997-02-06,9.5
1997-02-07,9.6875
1997-02-10,9.8125
1997-02-11,10.125
1997-02-12,10.03125
1997-02-13,10.15625
1997-02-14,10.09375
1997-02-18,10.15625
1997-02-19,10.15625
1997-02-20,9.9375
1997-02-21,9.9375
1997-02-24,10.0625
1997-02-25,10.25
1997-02-26,10.25
1997-02-27,10.1875
1997-02-28,10.09375
1997-03-03,10.09375
1997-03-04,10.1875
1997-03-05,10.5
1997-03-06,10.8125
1997-03-07,11.03125
1997-03-10,11.28125
1997-03-11,11.125
1997-03-12,10.9375
1997-03-13,10.8125
1997-03-14,10.75
1997-03-17,10.625
1997-03-18,10.40625
1997-03-19,10.1875
1997-03-20,10.15625
1997-03-21,10.375
1997-03-24,10.65625
1997-03-25,10.75
1997-03-26,10.5625
1997-03-27,10.125
1997-03-31,9.75
1997-04-01,9.78125
1997-04-02,9.75
1997-04-03,9.75
1997-04-04,9.6875
1997-04-07,9.84375
1997-04-08,9.75
1997-04-09,9.65625
1997-04-10,9.5
1997-04-11,9.125
1997-04-14,9.09375
1997-04-15,9.3125
1997-04-16,9.5
1997-04-17,9.46875
1997-04-18,9.46875
1997-04-21,9.4375
1997-04-22,9.59375
1997-04-23,9.59375
1997-04-24,9.59375
1997-04-25,9.59375
1997-04-28,9.59375
1997-04-29,9.875
1997-04-30,9.96875
1997-05-01,10.3125
1997-05-02,10.59375
1997-05-05,10.59375
1997-05-06,10.59375
1997-05-07,10.5
1997-05-08,10.65625
1997-05-09,10.71875
1997-05-12,10.8125
1997-05-13,10.71875
1997-05-14,10.75
1997-05-15,10.90625
1997-05-16,10.8125
1997-05-19,10.75
1997-05-20,10.84375
1997-05-21,10.90625
1997-05-22,10.90625
1997-05-23,10.96875
1997-05-27,11.03125
1997-05-28,10.96875
1997-05-29,10.875
1997-05-30,10.90625
1997-06-02,10.875
1997-06-03,10.90625
1997-06-04,10.90625
1997-06-05,10.9375
1997-06-06,10.90625
1997-06-09,10.71875
1997-06-10,10.78125
1997-06-11,10.625
1997-06-12,10.90625
1997-06-13,10.9375
1997-06-16,10.90625
1997-06-17,10.875
1997-06-18,10.84375
1997-06-19,11.0
1997-06-20,11.0
1997-06-23,11.15625
1997-06-24,11.328125
1997-06-25,11.28125
1997-06-26,11.328125
1997-06-27,11.390625
1997-06-30,11.34375
1997-07-01,11.5
1997-07-02,11.765625
1997-07-03,11.890625
1997-07-07,11.859375
1997-07-08,11.984375
1997-07-09,11.953125
1997-07-10,11.9375
1997-07-11,12.0625
1997-07-14,12.171875
1997-07-15,12.046875
1997-07-16,12.296875
1997-07-17,12.359375
1997-07-18,12.375
1997-07-21,12.3125
1997-07-22,12.375
1997-07-23,12.28125
1997-07-24,12.25
1997-07-25,12.078125
1997-07-28,12.09375
1997-07-29,11.984375
1997-07-30,11.953125
1997-07-31,12.015625
1997-08-01,11.921875
1997-08-04,12.0625
1997-08-05,11.96875
1997-08-06,12.203125
1997-08-07,12.0625
1997-08-08,11.75
1997-08-11,11.59375
1997-08-12,11.484375
1997-08-13,11.40625
1997-08-14,11.414063453674316
1997-08-15,11.28125
1997-08-18,11.234375
1997-08-19,11.25
1997-08-20,11.375
1997-08-21,11.109375
1997-08-22,11.203125
1997-08-25,11.640625
1997-08-26,11.5625
1997-08-27,11.625
1997-08-28,11.6875
1997-08-29,11.75
1997-09-02,11.875
1997-09-03,11.921875
1997-09-04,11.9375
1997-09-05,11.875
1997-09-08,11.90625
1997-09-09,11.90625
1997-09-10,11.65625
1997-09-11,11.484375
1997-09-12,11.5625
1997-09-15,11.640625
1997-09-16,11.78125
1997-09-17,11.875
1997-09-18,11.953125
1997-09-19,12.015625
1997-09-22,12.234375
1997-09-23,12.21875
1997-09-24,12.375
1997-09-25,12.25
1997-09-26,12.21875
1997-09-29,12.296875
1997-09-30,12.296875
1997-10-01,12.328125
1997-10-02,12.375
1997-10-03,12.625
1997-10-06,12.90625
1997-10-07,12.9375
1997-10-08,13.0625
1997-10-09,12.90625
1997-10-10,12.671875
1997-10-13,12.65625
1997-10-14,12.765625
1997-10-15,12.6875
1997-10-16,12.671875
1997-10-17,12.640625
1997-10-20,12.859375
1997-10-21,13.109375
1997-10-22,13.25
1997-10-23,13.375
1997-10-24,13.375
1997-10-27,12.828125
1997-10-28,13.109375
1997-10-29,13.59375
1997-10-30,13.359375
1997-10-31,13.421875
1997-11-03,13.515625
1997-11-04,13.484375
1997-11-05,13.5
1997-11-06,13.71875
1997-11-07,13.390625
1997-11-10,13.25
1997-11-11,13.15625
1997-11-12,12.984375
1997-11-13,12.96875
1997-11-14,13.28125
1997-11-17,13.71875
1997-11-18,13.65625
1997-11-19,13.71875
1997-11-20,14.03125
1997-11-21,14.171875
1997-11-24,14.15625
1997-11-25,14.0625
1997-11-26,13.796875
1997-11-28,13.375
1997-12-01,13.875
1997-12-02,14.109375
1997-12-03,14.125
1997-12-04,14.078125
1997-12-05,14.171875
1997-12-08,14.09375
1997-12-09,14.15625
1997-12-10,14.0625
1997-12-11,13.71875
1997-12-12,13.609375
1997-12-15,13.671875
1997-12-16,13.71875
1997-12-17,13.609375
1997-12-18,13.375
1997-12-19,13.109375
1997-12-22,13.46875
1997-12-23,13.09375
1997-12-24,12.90625
1997-12-26,12.96875
1997-12-29,13.171875
1997-12-30,13.265625
1997-12-31,13.25
1998-01-02,13.265625
1998-01-05,13.953125
1998-01-06,13.734375
1998-01-07,13.609375
1998-01-08,13.40625
1998-01-09,13.0625
1998-01-12,12.984375
1998-01-13,13.328125
1998-01-14,13.296875
1998-01-15,13.0625
1998-01-16,12.96875
1998-01-20,13.03125
1998-01-21,12.9375
1998-01-22,12.390625
1998-01-23,13.03125
1998-01-26,13.46875
1998-01-27,13.4375
1998-01-28,13.3125
1998-01-29,13.15625
1998-01-30,13.0625
1998-02-02,13.453125
1998-02-03,13.75
1998-02-04,13.59375
1998-02-05,13.65625
1998-02-06,13.796875
1998-02-09,13.984375
1998-02-10,14.03125
1998-02-11,14.0625
1998-02-12,14.453125
1998-02-13,14.421875
1998-02-17,14.453125
1998-02-18,14.375
1998-02-19,14.28125
1998-02-20,14.390625
1998-02-23,14.40625
1998-02-24,14.59375
1998-02-25,14.71875
1998-02-26,14.8125
1998-02-27,14.609375
1998-03-02,14.5
1998-03-03,14.46875
1998-03-04,14.4375
1998-03-05,14.5
1998-03-06,14.59375
1998-03-09,14.734375
1998-03-10,14.875
1998-03-11,14.984375
1998-03-12,14.984375
1998-03-13,14.921875
1998-03-16,15.125
1998-03-17,15.265625
1998-03-18,15.34375
1998-03-19,15.28125
1998-03-20,15.171875
1998-03-23,15.078125
1998-03-24,15.1875
1998-03-25,15.109375
1998-03-26,15.078125
1998-03-27,15.0
1998-03-30,14.8125
1998-03-31,14.78125
1998-04-01,14.78125
1998-04-02,14.65625
1998-04-03,14.765625
1998-04-06,15.03125
1998-04-07,15.078125
1998-04-08,15.03125
1998-04-09,15.234375
1998-04-13,15.546875
1998-04-14,15.90625
1998-04-15,15.796875
1998-04-16,15.78125
1998-04-17,15.5625
1998-04-20,15.390625
1998-04-21,15.375
1998-04-22,15.359375
1998-04-23,15.171875
1998-04-24,14.859375
1998-04-27,14.53125
1998-04-28,14.59375
1998-04-29,14.671875
1998-04-30,14.953125
1998-05-01,14.828125
1998-05-04,14.8125
1998-05-05,14.71875
1998-05-06,14.5625
1998-05-07,14.59375
1998-05-08,14.9375
1998-05-11,15.046875
1998-05-12,15.0625
1998-05-13,14.921875
1998-05-14,14.859375
1998-05-15,14.78125
1998-05-18,14.578125
1998-05-19,14.96875
1998-05-20,14.953125
1998-05-21,15.15625
1998-05-22,15.21875
1998-05-26,14.875
1998-05-27,14.859375
1998-05-28,15.0
1998-05-29,15.3125
1998-06-01,15.28125
1998-06-02,15.375
1998-06-03,15.40625
1998-06-04,15.453125
1998-06-05,15.296875
1998-06-08,15.3125
1998-06-09,15.21875
1998-06-10,14.90625
1998-06-11,14.6875
1998-06-12,14.84375
1998-06-15,14.609375
1998-06-16,14.796875
1998-06-17,14.859375
1998-06-18,14.71875
1998-06-19,14.578125
1998-06-22,14.578125
1998-06-23,14.4375
1998-06-24,14.5
1998-06-25,14.859375
1998-06-26,14.90625
1998-06-29,15.21875
1998-06-30,15.09375
1998-07-01,15.296875
1998-07-02,15.265625
1998-07-06,15.3125
1998-07-07,15.40625
1998-07-08,15.390625
1998-07-09,15.34375
1998-07-10,15.3125
1998-07-13,15.21875
1998-07-14,15.359375
1998-07-15,15.265625
1998-07-16,15.234375
1998-07-17,15.1875
1998-07-20,15.140625
1998-07-21,15.0625
1998-07-22,14.796875
1998-07-23,14.328125
1998-07-24,14.25
1998-07-27,14.109375
1998-07-28,13.953125
1998-07-29,13.75
1998-07-30,13.765625
1998-07-31,13.578125
1998-08-03,13.40625
1998-08-04,13.125
1998-08-05,13.09375
1998-08-06,12.84375
1998-08-07,12.625
1998-08-10,12.125
1998-08-11,11.609375
1998-08-12,12.140625
1998-08-13,11.953125
1998-08-14,11.84375
1998-08-17,11.984375
1998-08-18,12.453125
1998-08-19,12.46875
1998-08-20,12.09375
1998-08-21,11.234375
1998-08-24,10.648438453674316
1998-08-25,10.734375
1998-08-26,10.515625
1998-08-27,9.71875
1998-08-28,9.703125
1998-08-31,9.40625
1998-09-01,9.515625
1998-09-02,9.75
1998-09-03,9.59375
1998-09-04,9.609375
1998-09-08,10.171875
1998-09-09,9.984375
1998-09-10,10.1875
1998-09-11,10.625
1998-09-14,11.03125
1998-09-15,11.125
1998-09-16,10.90625
1998-09-17,10.0625
1998-09-18,10.203125
1998-09-21,10.40625
1998-09-22,10.5
1998-09-23,11.046875
1998-09-24,10.6875
1998-09-25,10.4375
1998-09-28,10.4375
1998-09-29,10.46875
1998-09-30,10.078125
1998-10-01,9.671875
1998-10-02,9.953125
1998-10-05,9.6875
1998-10-06,9.890625
1998-10-07,10.25
1998-10-08,10.03125
1998-10-09,10.25
1998-10-12,10.578125
1998-10-13,10.34375
1998-10-14,10.703125
1998-10-15,11.046875
1998-10-16,10.96875
1998-10-19,10.921875
1998-10-20,10.875
1998-10-21,10.578125
1998-10-22,10.703125
1998-10-23,10.65625
1998-10-26,10.984375
1998-10-27,10.890625
1998-10-28,11.0625
1998-10-29,11.15625
1998-10-30,11.5
1998-11-02,11.78125
1998-11-03,11.65625
1998-11-04,11.890625
1998-11-05,11.53125
1998-11-06,11.375
1998-11-09,11.09375
1998-11-10,10.828125
1998-11-11,10.875
1998-11-12,10.6875
1998-11-13,11.03125
1998-11-16,11.09375
1998-11-17,11.25
1998-11-18,11.171875
1998-11-19,11.578125
1998-11-20,12.09375
1998-11-23,12.953125
1998-11-24,12.59375
1998-11-25,12.546875
1998-11-27,12.421875
1998-11-30,12.390625
1998-12-01,12.671875
1998-12-02,12.546875
1998-12-03,12.265625
1998-12-04,12.28125
1998-12-07,12.09375
1998-12-08,12.046875
1998-12-09,12.203125
1998-12-10,11.890625
1998-12-11,12.03125
1998-12-14,11.828125
1998-12-15,11.828125
1998-12-16,11.625
1998-12-17,11.515625
1998-12-18,11.84375
1998-12-21,12.09375
1998-12-22,12.0
1998-12-23,12.234375
1998-12-24,12.375
1998-12-28,12.015625
1998-12-29,12.328125
1998-12-30,12.21875
1998-12-31,12.5
1999-01-04,12.734375
1999-01-05,13.0
1999-01-06,13.234375
1999-01-07,13.34375
1999-01-08,13.71875
1999-01-11,13.875
1999-01-12,13.4375
1999-01-13,12.8125
1999-01-14,12.46875
1999-01-15,12.6875
1999-01-19,12.875
1999-01-20,12.828125
1999-01-21,12.578125
1999-01-22,12.359375
1999-01-25,12.390625
1999-01-26,13.125
1999-01-27,12.578125
1999-01-28,12.703125
1999-01-29,12.890625
1999-02-01,13.234375
1999-02-02,13.015625
1999-02-03,13.15625
1999-02-04,13.4375
1999-02-05,13.421875
1999-02-08,13.328125
1999-02-09,13.09375
1999-02-10,12.796875
1999-02-11,12.75
1999-02-12,12.6875
1999-02-16,12.859375
1999-02-17,12.75
1999-02-18,12.921875
1999-02-19,13.171875
1999-02-22,13.15625
1999-02-23,13.0625
1999-02-24,12.640625
1999-02-25,12.21875
1999-02-26,12.125
1999-03-01,11.890625
1999-03-02,11.984375
1999-03-03,11.71875
1999-03-04,11.78125
1999-03-05,12.09375
1999-03-08,12.265625
1999-03-09,12.28125
1999-03-10,12.40625
1999-03-11,12.234375
1999-03-12,12.015625
1999-03-15,12.078125
1999-03-16,11.859375
1999-03-17,11.796875
1999-03-18,11.859375
1999-03-19,11.84375
1999-03-22,11.859375
1999-03-23,11.578125
1999-03-24,11.5
1999-03-25,11.484375
1999-03-26,11.4375
1999-03-29,11.5
1999-03-30,11.765625
1999-03-31,11.796875
1999-04-01,11.96875
1999-04-05,12.265625
1999-04-06,12.171875
1999-04-07,12.140625
1999-04-08,12.484375
1999-04-09,12.4375
1999-04-12,12.953125
1999-04-13,12.734375
1999-04-14,12.625
1999-04-15,12.765625
1999-04-16,12.796875
1999-04-19,12.84375
1999-04-20,12.875
1999-04-21,12.921875
1999-04-22,12.875
1999-04-23,12.96875
1999-04-26,12.84375
1999-04-27,12.8125
1999-04-28,12.4375
1999-04-29,12.328125
1999-04-30,12.28125
1999-05-03,12.359375
1999-05-04,12.21875
1999-05-05,12.140625
1999-05-06,11.84375
1999-05-07,11.828125
1999-05-10,12.03125
1999-05-11,12.25
1999-05-12,12.109375
1999-05-13,12.15625
1999-05-14,11.53125
1999-05-17,11.375
1999-05-18,11.75
1999-05-19,12.0
1999-05-20,11.890625
1999-05-21,11.890625
1999-05-24,11.734375
1999-05-25,11.625
1999-05-26,11.59375
1999-05-27,11.421875
1999-05-28,11.421875
1999-06-01,11.546875
1999-06-02,11.46875
1999-06-03,11.53125
1999-06-04,11.5625
1999-06-07,11.578125
1999-06-08,11.45703125
1999-06-09,11.6875
1999-06-10,11.53125
1999-06-11,11.46875
1999-06-14,11.34375
1999-06-15,11.125
1999-06-16,11.5
1999-06-17,11.390625
1999-06-18,11.359375
1999-06-21,11.234375
1999-06-22,11.28125
1999-06-23,11.0625
1999-06-24,10.953125
1999-06-25,11.0
1999-06-28,10.921875
1999-06-29,10.84375
1999-06-30,11.09375
1999-07-01,11.046875
1999-07-02,11.875
1999-07-06,12.078125
1999-07-07,12.0
1999-07-08,11.75
1999-07-09,11.84375
1999-07-12,11.859375
1999-07-13,11.9375
1999-07-14,11.890625
1999-07-15,11.75
1999-07-16,11.671875
1999-07-19,11.5625
1999-07-20,11.53125
1999-07-21,11.5625
1999-07-22,11.390625
1999-07-23,11.328125
1999-07-26,10.953125
1999-07-27,11.15625
1999-07-28,11.125
1999-07-29,10.96875
1999-07-30,10.875
1999-08-02,10.921875
1999-08-03,10.875
1999-08-04,10.90625
1999-08-05,10.671875
1999-08-06,10.515625
1999-08-09,10.1875
1999-08-10,10.125
1999-08-11,10.78125
1999-08-12,10.78125
1999-08-13,11.203125
1999-08-16,11.296875
1999-08-17,11.265625
1999-08-18,11.15625
1999-08-19,11.0625
