Date,XLB
1998-12-22,20.828125
1998-12-23,21.046875
1998-12-24,21.53125
1998-12-28,21.34375
1998-12-29,21.734375
1998-12-30,21.671875
1998-12-31,21.921875
1999-01-04,21.65625
1999-01-05,22.1875
1999-01-06,22.578125
1999-01-07,22.40625
1999-01-08,23.171875
1999-01-11,23.21875
1999-01-12,22.625
1999-01-13,22.125
1999-01-14,21.75
1999-01-15,22.078125
1999-01-19,21.671875
1999-01-20,21.59375
1999-01-21,21.5
1999-01-22,21.078125
1999-01-25,21.5
1999-01-26,21.4375
1999-01-27,21.265625
1999-01-28,21.0
1999-01-29,21.109375
1999-02-01,21.28125
1999-02-02,21.296875
1999-02-03,21.3125
1999-02-04,21.9375
1999-02-05,22.234375
1999-02-08,22.125
1999-02-09,21.703125
1999-02-10,21.75
1999-02-11,21.53125
1999-02-12,21.421875
1999-02-16,21.21875
1999-02-17,21.0
1999-02-18,21.15625
1999-02-19,21.328125
1999-02-22,21.6875
1999-02-23,21.5
1999-02-24,21.4375
1999-02-25,21.4375
1999-02-26,21.4375
1999-03-01,21.1875
1999-03-02,21.0
1999-03-03,20.859375
1999-03-04,20.921875
1999-03-05,21.625
1999-03-08,21.765625
1999-03-09,21.578125
1999-03-10,21.875
1999-03-11,22.109375
1999-03-12,22.015625
1999-03-15,22.0625
1999-03-16,21.96875
1999-03-17,21.90625
1999-03-18,22.375
1999-03-19,22.328125
1999-03-22,22.390625
1999-03-23,21.828125
1999-03-24,21.84375
1999-03-25,21.921875
1999-03-26,21.75
1999-03-29,22.109375
1999-03-30,22.0625
1999-03-31,21.75
1999-04-01,22.0
1999-04-05,22.265625
1999-04-06,21.875
1999-04-07,22.109375
1999-04-08,22.421875
1999-04-09,22.3125
1999-04-12,22.96875
1999-04-13,23.25
1999-04-14,24.375
1999-04-15,25.3125
1999-04-16,25.59375
1999-04-19,25.859375
1999-04-20,25.546875
1999-04-21,25.65625
1999-04-22,25.25
1999-04-23,25.625
1999-04-26,25.375
1999-04-27,25.875
1999-04-28,27.25
1999-04-29,27.453125
1999-04-30,27.125
1999-05-03,27.75
1999-05-04,27.578125
1999-05-05,27.90625
1999-05-06,28.140625
1999-05-07,28.203125
1999-05-10,28.046875
1999-05-11,28.0
