Date,XLK
1998-12-22,32.046875
1998-12-23,32.8125
1998-12-24,32.6875
1998-12-28,32.78125
1998-12-29,32.875
1998-12-30,32.75
1998-12-31,32.625
1999-01-04,33.0
1999-01-05,33.84375
1999-01-06,34.84375
1999-01-07,34.734375
1999-01-08,34.875
1999-01-11,35.21875
1999-01-12,34.265625
1999-01-13,34.25
1999-01-14,33.78125
1999-01-15,34.78125
1999-01-19,35.984375
1999-01-20,36.3125
1999-01-21,35.375
1999-01-22,34.75
1999-01-25,35.359375
1999-01-26,36.78125
1999-01-27,36.0
1999-01-28,37.265625
1999-01-29,37.8125
1999-02-01,37.84375
1999-02-02,37.203125
1999-02-03,37.46875
1999-02-04,36.1875
1999-02-05,35.3125
1999-02-08,35.90625
1999-02-09,34.5
1999-02-10,34.75
1999-02-11,36.21875
1999-02-12,34.78125
1999-02-16,34.625
1999-02-17,33.84375
1999-02-18,34.03125
1999-02-19,34.34375
1999-02-22,35.5625
1999-02-23,36.03125
1999-02-24,35.03125
1999-02-25,35.125
1999-02-26,34.0625
1999-03-01,33.90625
1999-03-02,33.0
1999-03-03,33.5625
1999-03-04,33.90625
1999-03-05,34.6875
1999-03-08,35.6875
1999-03-09,35.3125
1999-03-10,35.3125
1999-03-11,35.25
1999-03-12,34.9375
1999-03-15,35.5
1999-03-16,36.109375
1999-03-17,35.875
1999-03-18,36.375
1999-03-19,35.5
1999-03-22,35.5
1999-03-23,34.46875
1999-03-24,35.140625
1999-03-25,35.96875
1999-03-26,35.78125
1999-03-29,37.125
1999-03-30,37.0625
1999-03-31,36.59375
1999-04-01,37.171875
1999-04-05,38.453125
1999-04-06,38.78125
1999-04-07,38.6875
1999-04-08,39.0625
1999-04-09,39.0
1999-04-12,38.40625
1999-04-13,37.8125
1999-04-14,36.875
1999-04-15,37.1875
1999-04-16,36.1875
1999-04-19,34.4375
1999-04-20,35.3125
1999-04-21,36.25
1999-04-22,37.921875
1999-04-23,38.0
1999-04-26,38.96875
1999-04-27,38.0
1999-04-28,37.5
1999-04-29,37.109375
1999-04-30,36.8125
1999-05-03,37.125
1999-05-04,36.5625
1999-05-05,37.3125
1999-05-06,36.375
1999-05-07,37.0
1999-05-10,37.3125
1999-05-11,37.875
1999-05-12,38.625
1999-05-13,38.515625
1999-05-14,37.5
1999-05-17,38.03125
1999-05-18,38.375
1999-05-19,38.5
1999-05-20,38.0
1999-05-21,37.5625
1999-05-24,36.75
1999-05-25,35.984375
1999-05-26,36.734375
1999-05-27,36.46875
1999-05-28,36.9375
1999-06-01,36.109375
1999-06-02,36.5
1999-06-03,36.25
1999-06-04,37.328125
1999-06-07,38.0
1999-06-08,37.125
1999-06-09,37.6875
1999-06-10,37.125
1999-06-11,36.625
1999-06-14,36.453125
1999-06-15,36.78125
1999-06-16,38.296875
1999-06-17,38.71875
1999-06-18,39.0625
1999-06-21,40.046875
1999-06-22,39.203125
1999-06-23,39.5
1999-06-24,38.6875
1999-06-25,38.734375
1999-06-28,39.375
1999-06-29,39.875
1999-06-30,40.484375
1999-07-01,40.9375
1999-07-02,41.46875
1999-07-06,41.234375
1999-07-07,41.71875
1999-07-08,42.28125
1999-07-09,42.734375
1999-07-12,42.796875
1999-07-13,42.609375
1999-07-14,43.140625
1999-07-15,43.453125
1999-07-16,43.84375
1999-07-19,43.3125
1999-07-20,41.515625
1999-07-21,41.875
1999-07-22,40.578125
1999-07-23,40.6875
1999-07-26,39.765625
1999-07-27,40.75
1999-07-28,41.125
1999-07-29,40.4375
1999-07-30,40.015625
1999-08-02,39.9375
1999-08-03,39.78125
1999-08-04,39.296875
1999-08-05,39.609375
1999-08-06,39.625
1999-08-09,39.171875
1999-08-10,38.515625
1999-08-11,39.75
1999-08-12,39.25
1999-08-13,40.5
1999-08-16,40.625
1999-08-17,40.8125
1999-08-18,40.34375
1999-08-19,39.9375
1999-08-20,40.0625
1999-08-23,40.984375
1999-08-24,41.625
1999-08-25,42.5
1999-08-26,41.984375
1999-08-27,41.75
1999-08-30,41.0625
1999-08-31,41.421875
1999-09-01,41.640625
1999-09-02,41.484375
1999-09-03,43.0
1999-09-07,43.015625
1999-09-08,42.71875
1999-09-09,43.09375
1999-09-10,43.5625
1999-09-13,42.96875
1999-09-14,43.4375
1999-09-15,42.53125
1999-09-16,42.34375
1999-09-17,43.1875
1999-09-20,43.375
1999-09-21,42.484375
1999-09-22,42.5625
1999-09-23,41.0
1999-09-24,41.09375
1999-09-27,41.515625
1999-09-28,41.703125
1999-09-29,40.9375
1999-09-30,41.25
1999-10-01,41.0
1999-10-04,42.0
1999-10-05,42.25
1999-10-06,42.765625
1999-10-07,42.546875
1999-10-08,42.515625
1999-10-11,42.9375
1999-10-12,42.171875
1999-10-13,41.0625
1999-10-14,40.828125
1999-10-15,39.859375
1999-10-18,39.5
1999-10-19,38.875
1999-10-20,40.4375
1999-10-21,39.78125
1999-10-22,39.875
1999-10-25,39.984375
1999-10-26,40.0
1999-10-27,39.953125
1999-10-28,40.984375
1999-10-29,42.5
1999-11-01,42.4375
1999-11-02,42.25
1999-11-03,42.875
1999-11-04,43.203125
1999-11-05,43.671875
1999-11-08,44.109375
