Date,XLY
1998-12-22,25.46875
1998-12-23,25.578125
1998-12-24,26.046875
1998-12-28,25.8125
1998-12-29,26.375
1998-12-30,26.15625
1998-12-31,26.125
1999-01-04,25.96875
1999-01-05,26.40625
1999-01-06,27.15625
1999-01-07,27.125
1999-01-08,27.15625
1999-01-11,27.015625
1999-01-12,26.3125
1999-01-13,26.4375
1999-01-14,25.84375
1999-01-15,26.171875
1999-01-19,26.15625
1999-01-20,26.59375
1999-01-21,26.34375
1999-01-22,26.46875
1999-01-25,26.40625
1999-01-26,27.03125
1999-01-27,27.0
1999-01-28,27.28125
1999-01-29,27.46875
1999-02-01,27.53125
1999-02-02,27.1875
1999-02-03,27.625
1999-02-04,27.46875
1999-02-05,26.78125
1999-02-08,27.21875
1999-02-09,26.375
1999-02-10,26.375
1999-02-11,27.234375
1999-02-12,26.75
1999-02-16,27.09375
1999-02-17,27.0
1999-02-18,27.03125
1999-02-19,27.171875
1999-02-22,27.859375
1999-02-23,27.71875
1999-02-24,27.375
1999-02-25,27.0625
1999-02-26,27.296875
1999-03-01,27.3125
1999-03-02,27.375
1999-03-03,27.234375
1999-03-04,27.8125
1999-03-05,28.65625
1999-03-08,28.78125
1999-03-09,28.859375
1999-03-10,28.78125
1999-03-11,29.09375
1999-03-12,29.21875
1999-03-15,29.28125
1999-03-16,29.125
1999-03-17,29.0
1999-03-18,29.5
1999-03-19,29.0625
1999-03-22,28.75
1999-03-23,27.875
1999-03-24,27.65625
1999-03-25,28.5
1999-03-26,28.3125
1999-03-29,29.0
1999-03-30,29.03125
1999-03-31,28.59375
1999-04-01,28.5625
1999-04-05,28.9375
1999-04-06,29.09375
1999-04-07,29.34375
1999-04-08,30.0
1999-04-09,30.28125
1999-04-12,30.53125
1999-04-13,30.375
1999-04-14,29.6875
1999-04-15,29.625
1999-04-16,29.71875
1999-04-19,29.0625
1999-04-20,29.4375
1999-04-21,29.9375
1999-04-22,30.015625
1999-04-23,30.34375
1999-04-26,30.15625
1999-04-27,30.234375
1999-04-28,30.125
1999-04-29,29.4375
1999-04-30,29.34375
1999-05-03,30.0625
1999-05-04,29.71875
1999-05-05,29.46875
1999-05-06,28.8125
1999-05-07,29.46875
1999-05-10,29.4375
1999-05-11,30.03125
1999-05-12,30.21875
1999-05-13,30.0625
1999-05-14,29.46875
1999-05-17,28.875
1999-05-18,29.0625
1999-05-19,28.71875
1999-05-20,28.96875
1999-05-21,28.78125
1999-05-24,28.15625
1999-05-25,27.875
1999-05-26,28.1875
1999-05-27,27.625
1999-05-28,28.015625
1999-06-01,28.1875
1999-06-02,28.125
1999-06-03,28.78125
1999-06-04,29.0
1999-06-07,29.078125
1999-06-08,28.640625
1999-06-09,28.359375
1999-06-10,27.953125
1999-06-11,27.8125
1999-06-14,27.84375
1999-06-15,27.65625
1999-06-16,28.40625
1999-06-17,28.265625
1999-06-18,28.4375
1999-06-21,28.9375
1999-06-22,28.75
1999-06-23,28.34375
1999-06-24,28.28125
1999-06-25,28.1875
1999-06-28,28.734375
1999-06-29,29.21875
1999-06-30,29.78125
1999-07-01,29.9375
1999-07-02,30.09375
1999-07-06,30.34375
1999-07-07,30.0625
1999-07-08,29.8125
1999-07-09,29.8125
1999-07-12,29.625
1999-07-13,29.40625
1999-07-14,29.46875
1999-07-15,29.859375
1999-07-16,30.03125
1999-07-19,29.96875
1999-07-20,29.1875
1999-07-21,28.90625
1999-07-22,28.53125
1999-07-23,28.3125
1999-07-26,28.46875
1999-07-27,28.625
1999-07-28,28.53125
1999-07-29,28.09375
1999-07-30,27.5625
1999-08-02,27.359375
1999-08-03,27.015625
1999-08-04,26.46875
1999-08-05,26.234375
1999-08-06,26.03125
1999-08-09,25.6875
1999-08-10,25.6875
1999-08-11,26.25
1999-08-12,26.5625
1999-08-13,27.09375
1999-08-16,27.46875
1999-08-17,27.40625
1999-08-18,27.3125
1999-08-19,27.078125
1999-08-20,27.375
1999-08-23,27.8125
1999-08-24,27.78125
1999-08-25,28.0625
1999-08-26,27.515625
1999-08-27,27.40625
1999-08-30,26.8125
1999-08-31,26.5
1999-09-01,26.53125
1999-09-02,26.21875
1999-09-03,26.9375
1999-09-07,26.515625
1999-09-08,26.375
1999-09-09,26.46875
1999-09-10,26.96875
1999-09-13,26.890625
1999-09-14,26.75
1999-09-15,26.515625
1999-09-16,25.953125
1999-09-17,26.28125
1999-09-20,26.25
1999-09-21,25.65625
1999-09-22,25.9375
1999-09-23,26.0625
1999-09-24,25.53125
1999-09-27,25.96875
1999-09-28,25.890625
1999-09-29,25.703125
1999-09-30,26.078125
1999-10-01,26.21875
1999-10-04,27.0625
1999-10-05,27.109375
1999-10-06,27.40625
1999-10-07,27.328125
1999-10-08,28.109375
1999-10-11,28.3125
1999-10-12,27.734375
1999-10-13,27.40625
1999-10-14,27.015625
1999-10-15,26.328125
1999-10-18,26.5
1999-10-19,26.765625
1999-10-20,27.234375
1999-10-21,27.0
1999-10-22,27.703125
1999-10-25,27.21875
1999-10-26,26.546875
1999-10-27,26.625
1999-10-28,27.625
1999-10-29,28.390625
1999-11-01,28.1875
1999-11-02,27.984375
1999-11-03,27.75
1999-11-04,28.09375
1999-11-05,28.28125
1999-11-08,28.1875
1999-11-09,27.890625
1999-11-10,28.0
1999-11-11,28.0625
1999-11-12,28.71875
1999-11-15,28.765625
1999-11-16,28.890625
1999-11-17,28.640625
1999-11-18,28.765625
1999-11-19,28.5
1999-11-22,28.171875
1999-11-23,28.0625
1999-11-24,28.21875
1999-11-26,28.5625
1999-11-29,28.8125
1999-11-30,28.40625
1999-12-01,28.75
1999-12-02,28.625
1999-12-03,28.953125
1999-12-06,29.0
1999-12-07,28.515625
1999-12-08,28.359375
1999-12-09,28.3125
1999-12-10,29.09375
1999-12-13,29.96875
1999-12-14,29.578125
1999-12-15,29.71875
1999-12-16,30.375
1999-12-17,30.1875
1999-12-20,29.3125
1999-12-21,29.4375
1999-12-22,29.5
1999-12-23,30.078125
1999-12-27,30.375
1999-12-28,30.6875
1999-12-29,30.8125
1999-12-30,30.71875
1999-12-31,31.0625
2000-01-03,30.125
2000-01-04,29.21875
2000-01-05,28.859375
2000-01-06,29.1875
2000-01-07,30.5625
2000-01-10,30.40625
2000-01-11,30.234375
2000-01-12,30.0625
2000-01-13,30.21875
2000-01-14,30.140625
2000-01-18,29.96875
2000-01-19,29.90625
2000-01-20,29.5
2000-01-21,28.890625
2000-01-24,27.8125
2000-01-25,27.984375
2000-01-26,28.1875
2000-01-27,28.109375
2000-01-28,27.0
2000-01-31,27.203125
2000-02-01,28.1875
2000-02-02,28.0
2000-02-03,28.109375
2000-02-04,28.0625
2000-02-07,27.46875
2000-02-08,28.09375
2000-02-09,27.625
2000-02-10,27.375
2000-02-11,26.984375
2000-02-14,27.125
2000-02-15,27.1875
2000-02-16,26.125
2000-02-17,25.375
2000-02-18,25.0
2000-02-22,25.0625
2000-02-23,24.984375
2000-02-24,24.1875
2000-02-25,24.28125
2000-02-28,25.15625
2000-02-29,25.6875
2000-03-01,25.390625
2000-03-02,25.359375
2000-03-03,25.828125
2000-03-06,25.21875
2000-03-07,24.515625
2000-03-08,24.8125
2000-03-09,25.3125
2000-03-10,24.96875
2000-03-13,24.765625
2000-03-14,24.8125
2000-03-15,26.3125
2000-03-16,28.25
2000-03-17,28.265625
2000-03-20,28.0
2000-03-21,28.3125
2000-03-22,28.1875
2000-03-23,28.265625
2000-03-24,28.359375
2000-03-27,28.28125
2000-03-28,28.375
2000-03-29,28.9375
2000-03-30,29.578125
2000-03-31,29.265625
2000-04-03,30.140625
2000-04-04,29.765625
2000-04-05,29.8125
2000-04-06,30.125
2000-04-07,30.125
2000-04-10,30.828125
2000-04-11,31.046875
2000-04-12,30.984375
2000-04-13,30.40625
2000-04-14,28.0
2000-04-17,28.03125
2000-04-18,28.625
2000-04-19,28.84375
2000-04-20,29.21875
2000-04-24,29.53125
2000-04-25,30.0625
2000-04-26,30.03125
2000-04-27,29.40625
2000-04-28,28.65625
2000-05-01,29.53125
2000-05-02,29.328125
2000-05-03,27.9375
2000-05-04,27.484375
2000-05-05,27.828125
2000-05-08,27.75
2000-05-09,28.03125
2000-05-10,28.03125
2000-05-11,28.28125
2000-05-12,28.6875
2000-05-15,28.78125
2000-05-16,29.0
2000-05-17,28.3125
2000-05-18,28.875
2000-05-19,28.140625
2000-05-22,27.71875
2000-05-23,27.59375
2000-05-24,27.09375
2000-05-25,26.84375
2000-05-26,26.28125
2000-05-30,26.484375
2000-05-31,27.109375
2000-06-01,27.3125
2000-06-02,28.0625
2000-06-05,27.90625
2000-06-06,27.015625
2000-06-07,27.015625
2000-06-08,26.75
2000-06-09,26.3125
2000-06-12,25.65625
2000-06-13,26.15625
2000-06-14,26.25
2000-06-15,26.1875
2000-06-16,25.84375
2000-06-19,25.8125
2000-06-20,25.25
2000-06-21,25.078125
2000-06-22,24.96875
2000-06-23,25.125
2000-06-26,25.125
2000-06-27,25.84375
2000-06-28,25.75
2000-06-29,25.3125
2000-06-30,25.59375
2000-07-03,25.9375
2000-07-05,26.25
2000-07-06,26.4375
2000-07-07,27.71875
2000-07-10,28.125
2000-07-11,28.328125
2000-07-12,28.40625
2000-07-13,27.875
2000-07-14,28.21875
2000-07-17,28.0625
2000-07-18,28.125
2000-07-19,27.765625
2000-07-20,27.6875
2000-07-21,27.625
2000-07-24,27.1875
2000-07-25,27.25
2000-07-26,27.15625
2000-07-27,27.375
2000-07-28,26.53125
2000-07-31,26.0
2000-08-01,26.375
2000-08-02,26.375
2000-08-03,26.25
2000-08-04,26.140625
2000-08-07,26.84375
2000-08-08,27.640625
2000-08-09,27.15625
2000-08-10,26.375
2000-08-11,26.75
2000-08-14,27.09375
2000-08-15,26.3125
2000-08-16,25.796875
2000-08-17,25.8125
2000-08-18,26.15625
2000-08-21,25.53125
2000-08-22,26.03125
2000-08-23,25.875
2000-08-24,25.875
2000-08-25,26.109375
2000-08-28,25.6875
2000-08-29,25.578125
2000-08-30,25.28125
2000-08-31,24.921875
2000-09-01,25.421875
2000-09-05,25.6875
2000-09-06,26.0625
2000-09-07,25.84375
2000-09-08,26.328125
2000-09-11,26.8125
2000-09-12,26.8125
2000-09-13,26.8125
2000-09-14,26.65625
2000-09-15,26.359375
2000-09-18,25.828125
2000-09-19,25.390625
2000-09-20,24.890625
2000-09-21,25.8125
2000-09-22,25.640625
2000-09-25,25.25
2000-09-26,24.6875
2000-09-27,24.921875
2000-09-28,25.3125
2000-09-29,24.890625
2000-10-02,24.5
2000-10-03,24.6875
2000-10-04,25.125
2000-10-05,24.796875
2000-10-06,24.015625
2000-10-09,24.171875
2000-10-10,24.1875
2000-10-11,23.5
2000-10-12,21.859375
2000-10-13,22.3125
2000-10-16,22.703125
2000-10-17,22.078125
2000-10-18,22.5
2000-10-19,23.421875
2000-10-20,23.0
2000-10-23,23.140625
